Diamondback Energy PE Ratio Historical Data,Diamondback Energy PE Ratio Historical Data,Diamondback Energy PE Ratio Historical Data,Diamondback Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,158.48,,10.03
2024-12-31,163.83,$15.80,10.37
2024-09-30,171.55,$17.47,9.82
2024-06-30,196.86,$19.35,10.17
2024-03-31,192.96,$17.74,10.88
2023-12-31,148.45,$17.34,8.56
2023-09-30,145.12,$17.62,8.24
2023-06-30,122.39,$19.27,6.35
2023-03-31,125.15,$24.15,5.18
2022-12-31,124.1,$24.63,5.04
2022-09-30,107.76,$24.55,4.39
2022-06-30,105.85,$21.39,4.95
2022-03-31,116.93,$15.17,7.71
2021-12-31,91.58,$12.14,7.54
2021-09-30,80.04,$1.92,41.69
2021-06-30,78.93,$-8.69,0.0
2021-03-31,61.47,$-25.57,0.0
2020-12-31,40.27,$-28.62,0.0
2020-09-30,24.78,$-26.98,0.0
2020-06-30,34.12,$-17.67,0.0
2020-03-31,21.17,$-0.39,0.0
2019-12-31,74.58,$1.39,53.65
2019-09-30,72.03,$6.93,10.39
2019-06-30,87.13,$6.26,13.92
2019-03-31,81.03,$6.37,12.72
2018-12-31,73.9,$7.96,9.28
2018-09-30,107.65,$6.62,16.26
2018-06-30,104.66,$5.77,18.14
2018-03-31,100.55,$5.16,19.49
2017-12-31,100.34,$4.97,20.19
2017-09-30,77.85,$4.13,18.85
2017-06-30,70.58,$3.36,21.01
2017-03-31,82.43,$-0.42,0.0
2016-12-31,80.32,$-2.34,0.0
2016-09-30,76.72,$-5.46,0.0
2016-06-30,72.49,$-7.83,0.0
2016-03-31,61.34,$-9.11,0.0
2015-12-31,53.17,$-8.55,0.0
2015-09-30,51.34,$-4.02,0.0
2015-06-30,59.91,$-0.83,0.0
2015-03-31,61.07,$3.16,19.33
2014-12-31,47.51,$3.54,13.42
2014-09-30,59.43,$2.25,26.41
2014-06-30,70.57,$1.79,39.43
2014-03-31,53.49,$1.61,33.23
2013-12-31,42.03,$1.28,32.83
2013-09-30,33.89,$0.89,38.08
