Occidental Petroleum PE Ratio Historical Data,Occidental Petroleum PE Ratio Historical Data,Occidental Petroleum PE Ratio Historical Data,Occidental Petroleum PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,47.96,,19.66
2024-12-31,49.41,$2.44,20.25
2024-09-30,51.31,$3.84,13.36
2024-06-30,62.48,$4.06,15.39
2024-03-31,64.18,$3.66,17.54
2023-12-31,58.76,$3.91,15.03
2023-09-30,63.64,$4.57,13.93
2023-06-30,57.52,$5.89,9.77
2023-03-31,60.89,$8.73,6.97
2022-12-31,61.25,$12.38,4.95
2022-09-30,59.63,$12.01,4.96
2022-06-30,57.02,$10.14,5.62
2022-03-31,54.84,$6.57,8.35
2021-12-31,27.96,$1.56,17.92
2021-09-30,28.52,$-1.22,0.0
2021-06-30,30.13,$-5.94,0.0
2021-03-31,25.64,$-14.96,0.0
2020-12-31,16.67,$-17.09,0.0
2020-09-30,9.63,$-17.18,0.0
2020-06-30,17.6,$-14.19,0.0
2020-03-31,11.13,$-4.23,0.0
2019-12-31,37.25,$-0.90,0.0
2019-09-30,39.36,$1.53,25.73
2019-06-30,43.74,$5.05,8.66
2019-03-31,56.66,$5.31,10.67
2018-12-31,51.89,$5.39,9.63
2018-09-30,68.66,$5.11,13.44
2018-06-30,69.22,$2.92,23.71
2018-03-31,53.26,$2.48,21.47
2017-12-31,59.66,$1.71,34.89
2017-09-30,51.43,$0.70,73.47
2017-06-30,47.35,$0.13,364.22
2017-03-31,49.48,$-0.71,0.0
2016-12-31,54.96,$-0.76,0.0
2016-09-30,55.64,$-7.18,0.0
2016-06-30,57.1,$-10.28,0.0
2016-03-31,51.2,$-9.87,0.0
2015-12-31,50.0,$-10.25,0.0
2015-09-30,48.38,$-7.88,0.0
2015-06-30,56.27,$-2.91,0.0
2015-03-31,52.31,$-1.32,0.0
2014-12-31,57.22,$0.71,80.58
2014-09-30,65.06,$7.16,9.09
2014-06-30,68.94,$7.57,9.11
2014-03-31,63.55,$7.39,8.6
2013-12-31,62.96,$7.32,8.6
2013-09-30,61.5,$5.70,10.79
2013-06-30,58.25,$5.43,10.73
2013-03-31,50.81,$5.43,9.36
2012-12-31,49.28,$5.67,8.69
2012-09-30,54.96,$7.26,7.57
2012-06-30,54.43,$7.75,7.02
2012-03-31,60.05,$8.34,7.2
2011-12-31,58.76,$8.32,7.06
2011-09-30,44.63,$7.80,5.72
2011-06-30,64.59,$7.08,9.12
2011-03-31,64.58,$6.16,10.48
2010-12-31,60.35,$5.57,10.84
2010-09-30,47.97,$5.23,9.17
2010-06-30,47.03,$4.91,9.58
2010-03-31,51.3,$4.44,11.55
2009-12-31,49.16,$3.58,13.73
