Kirkland's PE Ratio Historical Data,Kirkland's PE Ratio Historical Data,Kirkland's PE Ratio Historical Data,Kirkland's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.34,,0.0
2024-10-31,1.6,$-1.60,0.0
2024-07-31,1.8,$-1.51,0.0
2024-04-30,1.91,$-1.91,0.0
2024-01-31,3.3,$-2.18,0.0
2023-10-31,1.6,$-3.26,0.0
2023-07-31,3.12,$-3.34,0.0
2023-04-30,3.05,$-3.85,0.0
2023-01-31,3.66,$-3.53,0.0
2022-10-31,3.79,$-2.32,0.0
2022-07-31,3.11,$-1.23,0.0
2022-04-30,7.23,$0.83,8.71
2022-01-31,16.93,$1.57,10.78
2021-10-31,22.48,$2.02,11.13
2021-07-31,19.46,$2.33,8.35
2021-04-30,29.6,$1.63,18.16
2021-01-31,25.46,$0.99,25.72
2020-10-31,9.28,$-0.72,0.0
2020-07-31,5.38,$-3.15,0.0
2020-04-30,0.91,$-3.70,0.0
2020-01-31,1.15,$-3.79,0.0
2019-10-31,1.58,$-2.49,0.0
2019-07-31,1.71,$-1.06,0.0
2019-04-30,5.88,$-0.28,0.0
2019-01-31,10.22,$0.28,36.5
2018-10-31,10.11,$0.12,84.25
2018-07-31,11.38,$0.15,75.87
2018-04-30,10.59,$0.34,31.15
2018-01-31,10.61,$0.31,34.23
2017-10-31,11.7,$0.42,27.86
2017-07-31,9.35,$0.52,17.98
2017-04-30,11.76,$0.54,21.78
2017-01-31,13.88,$0.69,20.12
2016-10-31,12.21,$0.76,16.07
2016-07-31,15.24,$0.79,19.29
2016-04-30,16.42,$0.88,18.66
2016-01-31,11.83,$0.96,12.32
2015-10-31,22.99,$0.86,26.73
2015-07-31,27.28,$0.95,28.72
2015-04-30,22.44,$1.02,22.0
2015-01-31,21.99,$1.00,21.99
2014-10-31,16.82,$0.82,20.52
2014-07-31,17.78,$0.81,21.95
2014-04-30,16.17,$0.84,19.25
2014-01-31,17.8,$0.82,21.7
2013-10-31,16.78,$0.95,17.66
2013-07-31,16.61,$0.87,19.1
2013-04-30,11.4,$0.79,14.43
2013-01-31,10.93,$0.79,13.84
2012-10-31,9.06,$0.75,12.08
2012-07-31,10.22,$0.83,12.31
2012-04-30,13.84,$0.92,15.04
2012-01-31,14.17,$0.97,14.6
2011-10-31,10.62,$0.89,11.94
2011-07-31,10.2,$0.94,10.85
2011-04-30,14.26,$1.12,12.73
2011-01-31,12.52,$1.29,9.7
2010-10-31,12.71,$1.67,7.61
2010-07-31,15.93,$1.83,8.71
2010-04-30,21.05,$1.84,11.44
2010-01-31,14.61,$1.69,8.65
2009-10-31,11.89,$1.37,8.68
