First Of Long Island PE Ratio Historical Data,First Of Long Island PE Ratio Historical Data,First Of Long Island PE Ratio Historical Data,First Of Long Island PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.2,,20.0
2024-12-31,11.68,$0.61,19.15
2024-09-30,12.67,$0.88,14.4
2024-06-30,9.67,$0.98,9.86
2024-03-31,10.7,$1.08,9.9
2023-12-31,12.53,$1.17,10.71
2023-09-30,10.53,$1.34,7.86
2023-06-30,10.81,$1.59,6.8
2023-03-31,12.14,$1.82,6.67
2022-12-31,15.95,$2.05,7.78
2022-09-30,14.92,$1.99,7.5
2022-06-30,15.0,$1.92,7.81
2022-03-31,16.65,$1.86,8.95
2021-12-31,18.13,$1.81,10.01
2021-09-30,17.13,$1.87,9.16
2021-06-30,17.49,$1.84,9.51
2021-03-31,17.51,$1.81,9.67
2020-12-31,14.42,$1.72,8.38
2020-09-30,11.83,$1.66,7.12
2020-06-30,12.89,$1.65,7.81
2020-03-31,13.68,$1.63,8.39
2019-12-31,19.39,$1.68,11.54
2019-09-30,17.44,$1.69,10.32
2019-06-30,15.28,$1.64,9.31
2019-03-31,16.68,$1.61,10.36
2018-12-31,14.94,$1.62,9.22
2018-09-30,16.16,$1.53,10.56
2018-06-30,18.36,$1.52,12.08
2018-03-31,20.28,$1.49,13.61
2017-12-31,20.95,$1.43,14.65
2017-09-30,22.16,$1.44,15.39
2017-06-30,20.71,$1.39,14.86
2017-03-31,19.59,$1.36,14.44
2016-12-31,20.57,$1.32,15.55
2016-09-30,15.74,$1.32,11.93
2016-06-30,13.62,$1.29,10.53
2016-03-31,13.44,$1.25,10.72
2015-12-31,14.04,$1.21,11.57
2015-09-30,12.57,$1.17,10.77
2015-06-30,12.8,$1.15,11.16
2015-03-31,11.69,$1.12,10.44
2014-12-31,12.82,$1.10,11.68
2014-09-30,15.57,$1.09,14.32
2014-06-30,11.68,$1.05,11.13
2014-03-31,12.05,$1.04,11.59
2013-12-31,12.64,$1.03,12.26
2013-09-30,11.31,$1.03,10.97
2013-06-30,9.59,$1.02,9.43
2013-03-31,8.57,$1.03,8.35
2012-12-31,8.12,$1.01,8.05
2012-09-30,8.68,$1.00,8.72
2012-06-30,8.1,$1.03,7.89
2012-03-31,7.41,$1.00,7.44
2011-12-31,7.3,$0.98,7.46
2011-09-30,6.17,$0.95,6.52
2011-06-30,7.54,$0.92,8.15
2011-03-31,7.5,$0.99,7.57
2010-12-31,7.71,$1.03,7.47
2010-09-30,6.58,$0.96,6.86
2010-06-30,6.78,$0.95,7.12
2010-03-31,6.3,$0.86,7.34
2009-12-31,6.55,$0.82,8.01
