Castor Maritime PE Ratio Historical Data,Castor Maritime PE Ratio Historical Data,Castor Maritime PE Ratio Historical Data,Castor Maritime PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.52,,0.75
2024-09-30,4.22,$3.35,1.26
2024-06-30,4.6,$2.61,1.76
2024-03-31,3.44,$2.49,1.38
2023-12-31,4.25,$2.50,1.7
2023-09-30,4.37,$5.00,0.87
2023-06-30,4.49,$9.50,0.47
2023-03-31,7.9,$11.50,0.69
2022-12-31,11.2,$12.50,0.9
2022-09-30,11.2,$10.70,1.05
2022-06-30,13.4,$8.40,1.6
2022-03-31,18.4,$6.20,2.97
2021-12-31,14.2,$4.30,3.3
2021-09-30,24.4,$1.50,16.27
2021-06-30,26.05,$-0.10,0.0
2021-03-31,76.1,$-1.80,0.0
2020-12-31,18.5,$-9.00,0.0
2020-09-30,15.41,$-8.00,0.0
2020-06-30,40.0,$-8.00,0.0
