Texas Roadhouse PE Ratio Historical Data,Texas Roadhouse PE Ratio Historical Data,Texas Roadhouse PE Ratio Historical Data,Texas Roadhouse PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,170.75,,26.39
2024-12-31,180.43,$6.47,27.89
2024-09-30,176.04,$5.82,30.25
2024-06-30,170.55,$5.51,30.95
2024-03-31,152.88,$4.94,30.95
2023-12-31,120.49,$4.53,26.6
2023-09-30,94.27,$4.34,21.72
2023-06-30,109.56,$4.32,25.36
2023-03-31,104.92,$4.17,25.16
2022-12-31,87.84,$3.97,22.13
2022-09-30,83.87,$3.84,21.84
2022-06-30,69.99,$3.66,19.12
2022-03-31,79.6,$3.67,21.69
2021-12-31,84.36,$3.50,24.1
2021-09-30,85.9,$3.02,28.44
2021-06-30,90.1,$2.69,33.49
2021-03-31,89.49,$1.13,79.2
2020-12-31,72.91,$0.45,162.01
2020-09-30,56.7,$0.78,72.7
2020-06-30,49.04,$0.88,55.72
2020-03-31,38.52,$1.99,19.36
2019-12-31,52.16,$2.46,21.2
2019-09-30,48.38,$2.27,21.31
2019-06-30,49.17,$2.15,22.87
2019-03-31,56.66,$2.14,26.48
2018-12-31,54.39,$2.20,24.72
2018-09-30,62.87,$2.18,28.84
2018-06-30,59.24,$2.21,26.81
2018-03-31,52.05,$2.12,24.55
2017-12-31,47.25,$1.84,25.68
2017-09-30,43.9,$1.73,25.37
2017-06-30,45.32,$1.66,27.3
2017-03-31,39.44,$1.60,24.65
2016-12-31,42.51,$1.62,26.24
2016-09-30,34.26,$1.65,20.77
2016-06-30,39.86,$1.58,25.23
2016-03-31,37.93,$1.41,26.9
2015-12-31,31.0,$1.37,22.62
2015-09-30,32.08,$1.31,24.49
2015-06-30,32.13,$1.29,24.91
2015-03-31,31.13,$1.32,23.58
2014-12-31,28.71,$1.23,23.34
2014-09-30,23.57,$1.21,19.48
2014-06-30,21.89,$1.18,18.55
2014-03-31,21.83,$1.13,19.32
2013-12-31,23.14,$1.13,20.48
2013-09-30,21.79,$1.08,20.18
2013-06-30,20.63,$1.09,18.93
2013-03-31,16.57,$1.09,15.2
2012-12-31,13.7,$0.99,13.84
2012-09-30,13.79,$0.97,14.22
2012-06-30,14.76,$0.94,15.7
2012-03-31,13.28,$0.88,15.09
2011-12-31,11.83,$0.88,13.44
2011-09-30,10.44,$0.85,12.28
2011-06-30,13.76,$0.82,16.78
2011-03-31,13.27,$0.81,16.38
2010-12-31,13.35,$0.81,16.48
2010-09-30,10.92,$0.79,13.82
2010-06-30,9.81,$0.75,13.08
2010-03-31,10.8,$0.73,14.79
2009-12-31,8.73,$0.66,13.22
