BRC PE Ratio Historical Data,BRC PE Ratio Historical Data,BRC PE Ratio Historical Data,BRC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.16,,0.0
2024-12-31,3.17,$-0.04,0.0
2024-09-30,3.42,$-0.08,0.0
2024-06-30,6.13,$-0.12,0.0
2024-03-31,4.28,$-0.18,0.0
2023-12-31,3.63,$-0.27,0.0
2023-09-30,3.59,$-0.29,0.0
2023-06-30,5.16,$-0.32,0.0
2023-03-31,5.14,$-0.47,0.0
2022-12-31,6.11,$-1.75,0.0
2022-09-30,7.73,$-1.66,0.0
2022-06-30,8.16,$-1.58,0.0
2022-03-31,20.87,$-1.36,0.0
