Mannatech PE Ratio Historical Data,Mannatech PE Ratio Historical Data,Mannatech PE Ratio Historical Data,Mannatech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.8,,0.0
2024-09-30,7.75,$-0.81,0.0
2024-06-30,6.79,$-0.63,0.0
2024-03-31,8.22,$-0.89,0.0
2023-12-31,8.1,$-1.20,0.0
2023-09-30,10.35,$-4.04,0.0
2023-06-30,12.01,$-3.44,0.0
2023-03-31,16.99,$-2.51,0.0
2022-12-31,17.44,$-2.77,0.0
2022-09-30,20.08,$2.26,8.89
2022-06-30,15.76,$3.09,5.1
2022-03-31,34.37,$3.74,9.19
2021-12-31,36.03,$4.72,7.63
2021-09-30,29.43,$3.81,7.73
2021-06-30,24.81,$3.13,7.93
2021-03-31,18.13,$2.61,6.95
2020-12-31,16.4,$2.72,6.03
2020-09-30,13.9,$3.25,4.28
2020-06-30,12.16,$1.87,6.5
2020-03-31,8.79,$2.21,3.98
2019-12-31,12.99,$1.34,9.7
2019-09-30,14.02,$-0.19,0.0
2019-06-30,13.5,$-0.26,0.0
2019-03-31,14.0,$-1.21,0.0
2018-12-31,14.73,$-1.59,0.0
2018-09-30,15.25,$-2.30,0.0
2018-06-30,15.3,$-1.11,0.0
2018-03-31,11.65,$-0.32,0.0
2017-12-31,11.04,$-0.68,0.0
2017-09-30,10.58,$0.27,39.17
2017-06-30,11.28,$0.23,49.05
2017-03-31,11.75,$-0.91,0.0
2016-12-31,14.45,$-0.24,0.0
2016-09-30,12.7,$0.74,17.17
2016-06-30,14.2,$0.31,45.81
2016-03-31,16.49,$1.95,8.46
2015-12-31,13.23,$2.14,6.18
2015-09-30,13.3,$2.26,5.89
2015-06-30,12.63,$4.12,3.07
2015-03-31,13.16,$2.71,4.86
2014-12-31,18.7,$2.39,7.82
2014-09-30,10.94,$2.65,4.13
2014-06-30,8.52,$0.46,18.52
2014-03-31,12.15,$1.02,11.91
2013-12-31,11.9,$1.18,10.08
2013-09-30,16.86,$0.34,49.59
2013-06-30,7.78,$1.47,5.29
2013-03-31,4.48,$0.24,18.68
2012-12-31,3.94,$-0.53,0.0
2012-09-30,3.64,$-3.26,0.0
2012-06-30,4.9,$-5.49,0.0
2012-03-31,2.56,$-6.56,0.0
2011-12-31,3.09,$-7.83,0.0
2011-09-30,3.79,$-6.20,0.0
2011-06-30,6.74,$-5.30,0.0
2011-03-31,11.37,$-4.70,0.0
2010-12-31,12.63,$-4.00,0.0
2010-09-30,14.38,$-2.20,0.0
2010-06-30,13.96,$-5.20,0.0
2010-03-31,23.44,$-5.90,0.0
2009-12-31,21.82,$-6.60,0.0
