Baxter PE Ratio Historical Data,Baxter PE Ratio Historical Data,Baxter PE Ratio Historical Data,Baxter PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,33.44,,0.0
2024-12-31,29.16,$-1.28,0.0
2024-09-30,37.78,$0.20,188.9
2024-06-30,33.03,$4.86,6.8
2024-03-31,42.2,$5.20,8.12
2023-12-31,37.91,$5.22,7.26
2023-09-30,36.71,$5.10,7.2
2023-06-30,44.0,$-5.66,0.0
2023-03-31,38.9,$-4.88,0.0
2022-12-31,48.53,$-4.83,0.0
2022-09-30,51.0,$-4.72,0.0
2022-06-30,60.51,$2.00,30.26
2022-03-31,72.77,$2.09,34.82
2021-12-31,80.29,$2.53,31.74
2021-09-30,74.96,$2.39,31.36
2021-06-30,74.77,$2.19,34.14
2021-03-31,78.06,$2.08,37.53
2020-12-31,74.04,$2.14,34.6
2020-09-30,73.97,$1.76,42.03
2020-06-30,78.97,$1.78,44.36
2020-03-31,74.26,$1.96,37.89
2019-12-31,76.28,$1.98,38.53
2019-09-30,79.58,$2.68,29.69
2019-06-30,74.33,$2.97,25.03
2019-03-31,73.58,$2.94,25.03
2018-12-31,59.41,$2.99,19.87
2018-09-30,69.39,$2.21,31.4
2018-06-30,66.3,$1.66,39.94
2018-03-31,58.24,$1.51,38.57
2017-12-31,57.74,$1.29,44.76
2017-09-30,55.92,$1.86,30.06
2017-06-30,53.81,$1.65,32.61
2017-03-31,45.97,$3.36,13.68
2016-12-31,39.2,$8.99,4.36
2016-09-30,41.96,$8.92,4.7
2016-06-30,39.75,$8.68,4.58
2016-03-31,36.01,$7.09,5.08
2015-12-31,33.34,$1.75,19.05
2015-09-30,28.62,$3.12,9.17
2015-06-30,32.84,$3.98,8.25
2015-03-31,31.92,$4.33,7.37
2014-12-31,33.9,$4.56,7.43
2014-09-30,32.96,$3.41,9.67
2014-06-30,32.97,$3.54,9.31
2014-03-31,33.32,$3.66,9.1
2013-12-31,31.27,$3.65,8.57
2013-09-30,29.32,$3.95,7.42
2013-06-30,30.7,$4.02,7.64
2013-03-31,31.96,$4.14,7.72
2012-12-31,29.15,$4.18,6.97
2012-09-30,26.17,$4.11,6.37
2012-06-30,22.9,$4.06,5.64
2012-03-31,25.59,$3.94,6.49
2011-12-31,21.06,$3.88,5.43
2011-09-30,23.73,$3.78,6.28
2011-06-30,25.09,$3.78,6.64
2011-03-31,22.48,$3.61,6.23
2010-12-31,21.04,$3.49,6.03
2010-09-30,19.71,$3.71,5.31
2010-06-30,16.68,$3.57,4.67
2010-03-31,23.72,$3.63,6.53
2009-12-31,23.79,$3.60,6.61
