IRobot PE Ratio Historical Data,IRobot PE Ratio Historical Data,IRobot PE Ratio Historical Data,IRobot PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.16,,0.0
2024-12-31,7.75,$-2.32,0.0
2024-09-30,8.69,$-4.60,0.0
2024-06-30,9.11,$-7.25,0.0
2024-03-31,8.76,$-7.77,0.0
2023-12-31,38.7,$-11.02,0.0
2023-09-30,37.9,$-11.81,0.0
2023-06-30,45.25,$-13.66,0.0
2023-03-31,43.64,$-12.33,0.0
2022-12-31,48.13,$-10.50,0.0
2022-09-30,56.33,$-8.60,0.0
2022-06-30,36.75,$-1.83,0.0
2022-03-31,63.4,$-0.33,0.0
2021-12-31,65.88,$1.05,62.74
2021-09-30,78.5,$2.68,29.29
2021-06-30,93.39,$3.89,24.01
2021-03-31,122.18,$6.06,20.16
2020-12-31,80.29,$5.16,15.56
2020-09-30,75.9,$5.40,14.06
2020-06-30,83.9,$3.37,24.9
2020-03-31,40.9,$1.55,26.39
2019-12-31,50.63,$2.97,17.05
2019-09-30,61.67,$3.15,19.58
2019-06-30,91.64,$3.03,30.24
2019-03-31,117.69,$3.15,37.36
2018-12-31,83.74,$3.08,27.19
2018-09-30,109.92,$2.36,46.58
2018-06-30,75.77,$2.00,37.89
2018-03-31,64.19,$1.90,33.78
2017-12-31,76.7,$1.77,43.33
2017-09-30,77.06,$2.10,36.7
2017-06-30,84.14,$2.04,41.25
2017-03-31,66.14,$1.94,34.09
2016-12-31,58.45,$1.49,39.23
2016-09-30,43.98,$1.65,26.65
2016-06-30,35.08,$1.37,25.61
2016-03-31,35.3,$1.44,24.51
2015-12-31,35.4,$1.47,24.08
2015-09-30,29.14,$1.13,25.79
2015-06-30,31.88,$1.19,26.79
2015-03-31,32.63,$1.23,26.53
2014-12-31,34.72,$1.25,27.78
2014-09-30,30.45,$1.05,29.0
2014-06-30,40.95,$0.83,49.34
2014-03-31,41.05,$0.83,49.46
2013-12-31,34.77,$0.94,36.99
2013-09-30,37.65,$0.62,60.72
2013-06-30,39.77,$0.90,44.19
2013-03-31,25.66,$0.88,29.16
2012-12-31,18.74,$0.61,30.72
2012-09-30,22.76,$1.20,18.97
2012-06-30,22.15,$1.16,19.09
2012-03-31,27.26,$1.19,22.91
2011-12-31,29.85,$1.44,20.73
2011-09-30,25.16,$1.32,19.06
2011-06-30,35.29,$1.09,32.38
2011-03-31,32.89,$1.00,32.89
2010-12-31,24.88,$0.97,25.65
2010-09-30,18.57,$0.91,20.41
2010-06-30,18.79,$0.74,25.39
2010-03-31,15.16,$0.44,34.45
2009-12-31,17.6,$0.13,135.38
