Ontrak PE Ratio Historical Data,Ontrak PE Ratio Historical Data,Ontrak PE Ratio Historical Data,Ontrak PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.52,,0.0
2024-09-30,2.43,$-10.62,0.0
2024-06-30,3.09,$-35.23,0.0
2024-03-31,7.6,$-59.97,0.0
2023-12-31,6.02,$-92.50,0.0
2023-09-30,12.98,$-125.92,0.0
2023-06-30,42.48,$-155.30,0.0
2023-03-31,47.52,$-202.36,0.0
2022-12-31,33.08,$-241.03,0.0
2022-09-30,42.3,$-303.99,0.0
2022-06-30,95.4,$-296.79,0.0
2022-03-31,203.85,$-251.82,0.0
2021-12-31,566.1,$-218.55,0.0
2021-09-30,903.6,$-142.10,0.0
2021-06-30,2923.2,$-125.91,0.0
2021-03-31,2930.4,$-129.51,0.0
2020-12-31,5561.1,$-130.41,0.0
2020-09-30,5400.0,$-152.89,0.0
2020-06-30,2226.6,$-167.28,0.0
2020-03-31,1370.7,$-164.59,0.0
2019-12-31,1467.9,$-140.30,0.0
2019-09-30,1418.4,$-101.63,0.0
2019-06-30,1729.8,$-79.15,0.0
2019-03-31,1100.7,$-71.95,0.0
2018-12-31,843.3,$-80.04,0.0
2018-09-30,1156.5,$-87.24,0.0
2018-06-30,604.8,$-80.04,0.0
2018-03-31,432.0,$30.58,14.13
