NextCure PE Ratio Historical Data,NextCure PE Ratio Historical Data,NextCure PE Ratio Historical Data,NextCure PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.61,,0.0
2024-12-31,0.77,$-1.98,0.0
2024-09-30,1.37,$-2.09,0.0
2024-06-30,1.59,$-2.19,0.0
2024-03-31,2.23,$-2.28,0.0
2023-12-31,1.14,$-2.25,0.0
2023-09-30,1.29,$-2.35,0.0
2023-06-30,1.8,$-2.52,0.0
2023-03-31,1.48,$-2.53,0.0
2022-12-31,1.41,$-2.69,0.0
2022-09-30,2.75,$-2.68,0.0
2022-06-30,4.7,$-2.65,0.0
2022-03-31,4.86,$-2.65,0.0
2021-12-31,6.0,$-2.51,0.0
2021-09-30,6.74,$-2.46,0.0
2021-06-30,8.03,$-2.40,0.0
2021-03-31,10.01,$-2.28,0.0
2020-12-31,10.9,$-1.35,0.0
2020-09-30,8.8,$-1.13,0.0
2020-06-30,21.44,$-0.91,0.0
2020-03-31,37.07,$-0.99,0.0
