Tenaya Therapeutics PE Ratio Historical Data,Tenaya Therapeutics PE Ratio Historical Data,Tenaya Therapeutics PE Ratio Historical Data,Tenaya Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.66,,0.0
2024-12-31,1.43,$-1.04,0.0
2024-09-30,1.93,$-1.44,0.0
2024-06-30,3.1,$-1.53,0.0
2024-03-31,5.23,$-1.64,0.0
2023-12-31,3.24,$-1.67,0.0
2023-09-30,2.55,$-1.88,0.0
2023-06-30,5.87,$-2.23,0.0
2023-03-31,2.85,$-2.47,0.0
2022-12-31,2.01,$-2.79,0.0
2022-09-30,2.9,$-2.81,0.0
2022-06-30,5.63,$-2.75,0.0
