Clean Energy Fuels PE Ratio Historical Data,Clean Energy Fuels PE Ratio Historical Data,Clean Energy Fuels PE Ratio Historical Data,Clean Energy Fuels PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.75,,0.0
2024-12-31,2.51,$-0.36,0.0
2024-09-30,3.11,$-0.31,0.0
2024-06-30,2.67,$-0.35,0.0
2024-03-31,2.68,$-0.35,0.0
2023-12-31,3.83,$-0.44,0.0
2023-09-30,3.83,$-0.42,0.0
2023-06-30,4.96,$-0.34,0.0
2023-03-31,4.36,$-0.33,0.0
2022-12-31,5.2,$-0.27,0.0
2022-09-30,5.34,$-0.22,0.0
2022-06-30,4.48,$-0.20,0.0
2022-03-31,7.94,$-0.52,0.0
2021-12-31,6.13,$-0.45,0.0
2021-09-30,8.15,$-0.45,0.0
2021-06-30,10.15,$-0.44,0.0
2021-03-31,13.74,$-0.09,0.0
2020-12-31,7.86,$-0.04,0.0
2020-09-30,2.48,$0.17,14.59
2020-06-30,2.22,$0.16,13.88
2020-03-31,1.78,$0.16,11.13
2019-12-31,2.34,$0.10,23.4
2019-09-30,2.07,$-0.07,0.0
2019-06-30,2.67,$-0.10,0.0
2019-03-31,3.09,$-0.14,0.0
2018-12-31,1.72,$-0.01,0.0
2018-09-30,2.6,$-0.23,0.0
2018-06-30,3.69,$-0.80,0.0
2018-03-31,1.65,$-0.85,0.0
2017-12-31,2.03,$-0.53,0.0
2017-09-30,2.48,$-0.37,0.0
2017-06-30,2.54,$0.15,16.93
2017-03-31,2.55,$0.28,9.11
2016-12-31,2.86,$-0.09,0.0
2016-09-30,4.47,$-0.60,0.0
2016-06-30,3.47,$-0.75,0.0
2016-03-31,2.93,$-1.09,0.0
2015-12-31,3.6,$-1.46,0.0
2015-09-30,4.5,$-0.91,0.0
2015-06-30,5.62,$-0.98,0.0
2015-03-31,5.34,$-0.99,0.0
2014-12-31,5.0,$-0.95,0.0
2014-09-30,7.8,$-1.30,0.0
2014-06-30,11.72,$-1.18,0.0
2014-03-31,8.94,$-0.97,0.0
2013-12-31,12.88,$-0.71,0.0
2013-09-30,12.77,$-0.83,0.0
2013-06-30,13.2,$-0.82,0.0
2013-03-31,13.0,$-0.82,0.0
2012-12-31,12.45,$-1.15,0.0
2012-09-30,13.17,$-0.98,0.0
2012-06-30,15.5,$-0.95,0.0
2012-03-31,21.28,$-0.90,0.0
2011-12-31,12.46,$-0.67,0.0
2011-09-30,11.12,$-0.20,0.0
2011-06-30,13.15,$-0.07,0.0
2011-03-31,16.38,$0.15,109.2
2010-12-31,13.84,$-0.12,0.0
2010-09-30,14.21,$-0.33,0.0
2010-06-30,14.94,$-0.61,0.0
2010-03-31,22.78,$-0.88,0.0
2009-12-31,15.41,$-0.60,0.0
