Utah Medical Products PE Ratio Historical Data,Utah Medical Products PE Ratio Historical Data,Utah Medical Products PE Ratio Historical Data,Utah Medical Products PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,57.41,,13.44
2024-09-30,66.59,$4.27,15.59
2024-06-30,66.19,$4.33,15.29
2024-03-31,70.13,$4.50,15.59
2023-12-31,82.71,$4.57,18.1
2023-09-30,84.16,$4.64,18.14
2023-06-30,90.89,$4.74,19.17
2023-03-31,92.13,$4.71,19.56
2022-12-31,97.43,$4.51,21.6
2022-09-30,82.43,$4.39,18.78
2022-06-30,82.72,$4.36,18.97
2022-03-31,86.24,$4.18,20.63
2021-12-31,95.66,$4.05,23.62
2021-09-30,87.19,$3.85,22.65
2021-06-30,79.61,$3.50,22.75
2021-03-31,80.8,$2.92,27.67
2020-12-31,78.41,$2.93,26.76
2020-09-30,74.05,$3.17,23.36
2020-06-30,81.88,$3.36,24.37
2020-03-31,86.65,$3.94,21.99
2019-12-31,99.09,$3.94,25.15
2019-09-30,87.79,$3.68,23.86
2019-06-30,87.42,$4.49,19.47
2019-03-31,80.34,$4.70,17.09
2018-12-31,75.39,$4.95,15.23
2018-09-30,85.21,$3.37,25.29
2018-06-30,99.35,$2.54,39.12
2018-03-31,88.93,$2.43,36.6
2017-12-31,73.03,$2.29,31.89
2017-09-30,65.76,$3.68,17.87
2017-06-30,64.5,$3.49,18.48
2017-03-31,55.29,$3.31,16.7
2016-12-31,64.29,$3.21,20.03
2016-09-30,52.64,$3.34,15.76
2016-06-30,55.23,$3.37,16.39
2016-03-31,54.6,$3.28,16.65
2015-12-31,50.9,$3.14,16.21
2015-09-30,46.62,$3.09,15.09
2015-06-30,51.35,$3.03,16.95
2015-03-31,51.32,$3.01,17.05
2014-12-31,51.27,$3.02,16.98
2014-09-30,41.44,$3.14,13.2
2014-06-30,43.5,$3.07,14.17
2014-03-31,48.68,$3.02,16.12
2013-12-31,47.9,$3.03,15.81
2013-09-30,49.57,$2.72,18.22
2013-06-30,45.06,$2.77,16.27
2013-03-31,40.26,$2.72,14.8
2012-12-31,29.61,$2.75,10.77
2012-09-30,27.73,$2.65,10.46
2012-06-30,27.17,$2.53,10.74
2012-03-31,25.02,$2.42,10.34
2011-12-31,21.55,$2.03,10.61
2011-09-30,20.95,$1.93,10.85
2011-06-30,20.58,$1.74,11.83
2011-03-31,22.45,$1.60,14.03
2010-12-31,20.7,$1.65,12.55
2010-09-30,21.78,$1.66,13.12
2010-06-30,18.4,$1.68,10.95
2010-03-31,20.58,$1.70,12.11
2009-12-31,21.28,$1.72,12.37
