Hub PE Ratio Historical Data,Hub PE Ratio Historical Data,Hub PE Ratio Historical Data,Hub PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,36.82,,21.66
2024-12-31,44.56,$1.70,26.21
2024-09-30,45.34,$1.76,25.76
2024-06-30,42.82,$1.86,23.08
2024-03-31,42.87,$2.11,20.36
2023-12-31,45.46,$2.61,17.45
2023-09-30,38.84,$3.36,11.58
2023-06-30,39.72,$4.18,9.51
2023-03-31,41.51,$4.97,8.35
2022-12-31,39.3,$5.32,7.39
2022-09-30,34.11,$5.35,6.38
2022-06-30,35.08,$4.69,7.49
2022-03-31,38.18,$3.56,10.72
2021-12-31,41.65,$2.53,16.5
2021-09-30,33.99,$1.62,20.98
2021-06-30,32.62,$1.35,24.17
2021-03-31,33.27,$1.16,28.8
2020-12-31,28.18,$1.10,25.62
2020-09-30,24.82,$1.19,20.94
2020-06-30,23.66,$1.21,19.64
2020-03-31,22.48,$1.45,15.56
2019-12-31,25.36,$1.60,15.85
2019-09-30,22.99,$1.91,12.04
2019-06-30,20.76,$3.23,6.44
2019-03-31,20.2,$3.12,6.47
2018-12-31,18.33,$3.01,6.1
2018-09-30,22.55,$3.77,5.98
2018-06-30,24.62,$2.30,10.73
2018-03-31,20.69,$2.11,9.81
2017-12-31,23.68,$2.03,11.7
2017-09-30,21.24,$0.81,26.38
2017-06-30,18.96,$0.85,22.44
2017-03-31,22.94,$1.01,22.83
2016-12-31,21.63,$1.11,19.58
2016-09-30,20.15,$1.15,17.6
2016-06-30,18.97,$1.15,16.5
2016-03-31,20.17,$1.10,18.34
2015-12-31,16.29,$0.99,16.54
2015-09-30,18.0,$0.90,20.12
2015-06-30,19.95,$0.68,29.33
2015-03-31,19.43,$0.68,28.57
2014-12-31,18.83,$0.71,26.71
2014-09-30,20.04,$0.71,28.43
2014-06-30,24.92,$0.90,27.84
2014-03-31,19.77,$0.89,22.22
2013-12-31,19.72,$0.94,21.09
2013-09-30,19.4,$0.97,20.1
2013-06-30,18.01,$0.97,18.66
2013-03-31,19.02,$0.95,20.12
2012-12-31,16.61,$0.92,18.06
2012-09-30,14.68,$0.90,16.4
2012-06-30,17.86,$0.87,20.65
2012-03-31,17.82,$0.83,21.46
2011-12-31,16.04,$0.79,20.43
2011-09-30,13.98,$0.73,19.28
2011-06-30,18.62,$0.68,27.59
2011-03-31,17.89,$0.61,29.34
2010-12-31,17.38,$0.59,29.7
2010-09-30,14.47,$0.55,26.55
2010-06-30,14.84,$0.51,29.38
2010-03-31,13.84,$0.49,28.53
2009-12-31,13.25,$0.46,29.11
