Acadia Healthcare PE Ratio Historical Data,Acadia Healthcare PE Ratio Historical Data,Acadia Healthcare PE Ratio Historical Data,Acadia Healthcare PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.01,,10.47
2024-12-31,39.65,$2.77,14.31
2024-09-30,63.41,$3.05,20.79
2024-06-30,67.54,$-0.08,0.0
2024-03-31,79.22,$-0.14,0.0
2023-12-31,77.76,$-0.25,0.0
2023-09-30,70.31,$-0.21,0.0
2023-06-30,79.64,$2.96,26.91
2023-03-31,72.25,$3.05,23.69
2022-12-31,82.32,$3.00,27.44
2022-09-30,78.18,$3.10,25.22
2022-06-30,67.63,$3.05,22.17
2022-03-31,65.53,$2.66,24.64
2021-12-31,60.7,$2.10,28.9
2021-09-30,63.78,$-7.45,0.0
2021-06-30,62.75,$-7.76,0.0
2021-03-31,57.14,$-7.79,0.0
2020-12-31,50.26,$-7.52,0.0
2020-09-30,29.48,$1.13,26.09
2020-06-30,25.12,$1.19,21.11
2020-03-31,18.35,$1.28,14.34
2019-12-31,33.22,$1.24,26.79
2019-09-30,31.08,$-2.43,0.0
2019-06-30,34.95,$-2.38,0.0
2019-03-31,29.31,$-2.26,0.0
2018-12-31,25.71,$-2.02,0.0
2018-09-30,35.2,$2.58,13.64
2018-06-30,40.91,$2.57,15.92
2018-03-31,39.18,$2.47,15.86
2017-12-31,32.63,$2.29,14.25
2017-09-30,47.76,$1.97,24.24
2017-06-30,49.38,$0.09,548.67
2017-03-31,43.6,$0.17,256.47
2016-12-31,33.1,$0.08,413.75
2016-09-30,49.55,$0.18,275.28
2016-06-30,55.4,$1.96,28.27
2016-03-31,55.11,$1.80,30.62
2015-12-31,62.46,$1.72,36.31
2015-09-30,66.27,$1.51,43.89
2015-06-30,78.33,$1.52,51.53
2015-03-31,71.6,$1.46,49.04
2014-12-31,61.21,$1.49,41.08
2014-09-30,48.5,$1.36,35.66
2014-06-30,45.5,$1.22,37.3
2014-03-31,45.12,$1.03,43.81
2013-12-31,47.33,$0.84,56.35
2013-09-30,39.43,$0.70,56.33
2013-06-30,33.07,$0.56,59.05
2013-03-31,29.39,$0.48,61.23
2012-12-31,23.35,$0.52,44.9
2012-09-30,23.83,$-0.30,0.0
2012-06-30,17.54,$-0.27,0.0
2012-03-31,16.3,$-1.67,0.0
2011-12-31,9.97,$-1.78,0.0
2011-09-30,9.44,$-1.06,0.0
2011-06-30,13.2,$-1.24,0.0
2011-03-31,10.46,0,0.0
