James Rivers PE Ratio Historical Data,James Rivers PE Ratio Historical Data,James Rivers PE Ratio Historical Data,James Rivers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.9,,0.0
2024-12-31,4.87,$-2.90,0.0
2024-09-30,6.26,$-4.05,0.0
2024-06-30,7.66,$-2.50,0.0
2024-03-31,9.15,$-2.09,0.0
2023-12-31,9.04,$-2.26,0.0
2023-09-30,14.94,$1.57,9.52
2023-06-30,17.71,$0.93,19.05
2023-03-31,19.98,$0.52,38.43
2022-12-31,20.19,$0.59,34.22
2022-09-30,21.97,$-1.59,0.0
2022-06-30,23.82,$-2.04,0.0
2022-03-31,23.74,$-1.57,0.0
2021-12-31,27.58,$-5.19,0.0
2021-09-30,35.69,$-4.07,0.0
2021-06-30,35.18,$-2.58,0.0
2021-03-31,42.42,$-2.02,0.0
2020-12-31,45.42,$0.14,324.39
2020-09-30,40.88,$1.47,27.81
2020-06-30,41.05,$-0.21,0.0
2020-03-31,32.83,$-0.71,0.0
2019-12-31,37.01,$1.25,29.61
2019-09-30,45.69,$0.96,47.59
2019-06-30,41.57,$2.43,17.11
2019-03-31,35.3,$2.33,15.15
2018-12-31,31.94,$2.10,15.21
2018-09-30,36.95,$1.73,21.36
2018-06-30,33.82,$1.43,23.65
2018-03-31,30.3,$1.35,22.45
2017-12-31,33.89,$1.44,23.53
2017-09-30,34.44,$2.28,15.11
2017-06-30,32.74,$2.65,12.35
2017-03-31,35.05,$2.66,13.18
2016-12-31,33.73,$2.48,13.6
2016-09-30,28.17,$2.06,13.68
2016-06-30,26.29,$1.99,13.21
2016-03-31,24.83,$1.93,12.86
2015-12-31,25.65,$1.82,14.09
2015-09-30,19.82,$1.70,11.66
