Red Robin Gourmet Burgers PE Ratio Historical Data,Red Robin Gourmet Burgers PE Ratio Historical Data,Red Robin Gourmet Burgers PE Ratio Historical Data,Red Robin Gourmet Burgers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.33,,0.0
2024-12-31,5.49,$-4.90,0.0
2024-09-30,4.41,$-3.29,0.0
2024-06-30,7.57,$-2.61,0.0
2024-03-31,7.66,$-1.76,0.0
2023-12-31,12.47,$-1.34,0.0
2023-09-30,8.04,$-3.25,0.0
2023-06-30,13.83,$-3.52,0.0
2023-03-31,14.32,$-4.89,0.0
2022-12-31,5.58,$-4.90,0.0
2022-09-30,6.73,$-3.48,0.0
2022-06-30,8.03,$-3.64,0.0
2022-03-31,16.86,$-2.83,0.0
2021-12-31,16.53,$-3.19,0.0
2021-09-30,23.06,$-4.36,0.0
2021-06-30,33.11,$-3.81,0.0
2021-03-31,39.89,$-7.58,0.0
2020-12-31,19.23,$-20.53,0.0
2020-09-30,13.16,$-18.60,0.0
2020-06-30,10.2,$-18.34,0.0
2020-03-31,8.52,$-14.17,0.0
2019-12-31,33.02,$-0.61,0.0
2019-09-30,33.26,$-0.83,0.0
2019-06-30,30.57,$-0.56,0.0
2019-03-31,28.81,$-0.78,0.0
2018-12-31,26.72,$-0.49,0.0
2018-09-30,40.15,$1.01,39.75
2018-06-30,46.6,$1.09,42.75
2018-03-31,58.0,$1.76,32.95
2017-12-31,56.4,$2.31,24.42
2017-09-30,67.0,$0.95,70.53
2017-06-30,65.25,$0.64,101.95
2017-03-31,58.45,$0.66,88.56
2016-12-31,56.4,$0.80,70.5
2016-09-30,44.94,$2.32,19.37
2016-06-30,47.43,$3.00,15.81
2016-03-31,64.47,$3.23,19.96
2015-12-31,61.74,$3.36,18.38
2015-09-30,75.74,$2.80,27.05
2015-06-30,85.82,$2.72,31.55
2015-03-31,87.0,$2.59,33.59
2014-12-31,76.98,$2.25,34.21
2014-09-30,56.9,$2.45,23.22
2014-06-30,71.2,$2.27,31.37
2014-03-31,71.68,$2.39,29.99
2013-12-31,73.54,$2.23,32.98
2013-09-30,71.1,$2.20,32.32
2013-06-30,55.18,$2.12,26.03
2013-03-31,45.6,$1.87,24.39
2012-12-31,35.29,$1.92,18.38
2012-09-30,32.59,$1.67,19.51
2012-06-30,30.51,$1.57,19.43
2012-03-31,37.19,$1.49,24.96
2011-12-31,27.7,$1.34,20.67
2011-09-30,24.09,$1.28,18.82
2011-06-30,36.38,$0.87,41.82
2011-03-31,26.89,$0.71,37.88
2010-12-31,21.47,$0.47,45.68
2010-09-30,19.61,$0.43,45.6
2010-06-30,17.16,$1.07,16.04
2010-03-31,24.44,$1.20,20.37
2009-12-31,17.9,$1.13,15.84
