BEST PE Ratio Historical Data,BEST PE Ratio Historical Data,BEST PE Ratio Historical Data,BEST PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-07,2.78,,0.0
2024-03-31,2.2,$-5.26,0.0
2023-12-31,2.55,$-5.86,0.0
2023-09-30,2.22,$-6.95,0.0
2023-06-30,2.13,$-8.21,0.0
2023-03-31,3.16,$-9.52,0.0
2022-12-31,2.2,$-10.64,0.0
2022-09-30,2.76,$8.20,0.34
2022-06-30,4.72,$5.56,0.85
2022-03-31,12.9,$4.28,3.01
2021-12-31,17.03,$2.40,7.1
2021-09-30,33.4,$-18.60,0.0
2021-06-30,35.6,$-18.20,0.0
2021-03-31,37.6,$-14.80,0.0
2020-12-31,40.8,$-15.40,0.0
2020-09-30,60.0,$-10.00,0.0
2020-06-30,85.6,$-5.20,0.0
2020-03-31,107.0,$-5.20,0.0
2019-12-31,111.2,$-1.60,0.0
2019-09-30,105.6,$-2.20,0.0
2019-06-30,110.2,$-2.60,0.0
2019-03-31,104.6,$-3.20,0.0
2018-12-31,82.2,$-1.40,0.0
2018-09-30,118.4,$-1.20,0.0
