Replimune PE Ratio Historical Data,Replimune PE Ratio Historical Data,Replimune PE Ratio Historical Data,Replimune PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.6,,0.0
2024-12-31,12.11,$-3.07,0.0
2024-09-30,10.96,$-3.05,0.0
2024-06-30,9.0,$-3.27,0.0
2024-03-31,8.17,$-3.24,0.0
2023-12-31,8.43,$-3.16,0.0
2023-09-30,17.11,$-3.08,0.0
2023-06-30,23.22,$-2.97,0.0
2023-03-31,17.66,$-3.00,0.0
2022-12-31,27.2,$-2.86,0.0
2022-09-30,17.27,$-2.74,0.0
2022-06-30,17.48,$-2.51,0.0
2022-03-31,16.98,$-2.26,0.0
2021-12-31,27.1,$-2.07,0.0
2021-09-30,29.64,$-1.94,0.0
2021-06-30,38.42,$-1.84,0.0
2021-03-31,30.51,$-1.75,0.0
2020-12-31,38.15,$-1.75,0.0
2020-09-30,23.02,$-1.77,0.0
2020-06-30,24.85,$-1.66,0.0
2020-03-31,9.97,$-1.52,0.0
2019-12-31,14.35,$-1.26,0.0
2019-09-30,13.9,$-1.04,0.0
2019-06-30,14.66,$-0.95,0.0
