OFS Capital PE Ratio Historical Data,OFS Capital PE Ratio Historical Data,OFS Capital PE Ratio Historical Data,OFS Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.6,,4.53
2024-12-31,8.07,$2.12,3.81
2024-09-30,8.45,$-0.09,0.0
2024-06-30,8.53,$-0.07,0.0
2024-03-31,9.22,$-0.99,0.0
2023-12-31,10.5,$-0.04,0.0
2023-09-30,9.8,$0.45,21.77
2023-06-30,8.37,$-0.40,0.0
2023-03-31,8.43,$-0.91,0.0
2022-12-31,8.05,$-0.57,0.0
2022-09-30,6.34,$0.52,12.19
2022-06-30,7.42,$2.21,3.36
2022-03-31,9.47,$4.54,2.09
2021-12-31,7.77,$4.23,1.84
2021-09-30,7.22,$3.81,1.89
2021-06-30,6.78,$4.08,1.66
2021-03-31,5.85,$2.98,1.96
2020-12-31,4.65,$0.26,17.89
2020-09-30,2.99,$-0.54,0.0
2020-06-30,2.77,$-1.66,0.0
2020-03-31,2.41,$-1.98,0.0
2019-12-31,6.09,$0.71,8.58
2019-09-30,6.14,$0.35,17.55
2019-06-30,6.17,$0.61,10.11
2019-03-31,5.88,$0.73,8.05
2018-12-31,5.16,$0.71,7.26
2018-09-30,5.61,$1.33,4.22
2018-06-30,5.26,$1.03,5.11
2018-03-31,5.01,$0.49,10.23
2017-12-31,5.01,$0.73,6.86
2017-09-30,5.39,$0.92,5.86
2017-06-30,5.71,$1.08,5.29
2017-03-31,5.53,$1.70,3.25
2016-12-31,5.24,$1.44,3.64
2016-09-30,4.83,$1.58,3.06
2016-06-30,4.65,$1.48,3.14
2016-03-31,4.56,$1.80,2.53
2015-12-31,3.93,$1.89,2.08
2015-09-30,3.4,$1.61,2.11
2015-06-30,3.86,$1.86,2.07
2015-03-31,3.83,$1.15,3.33
2014-12-31,3.59,$1.03,3.48
2014-09-30,3.57,$0.79,4.52
2014-06-30,3.74,$0.43,8.71
2014-03-31,3.51,$0.71,4.94
2013-12-31,3.5,$0.80,4.38
2013-09-30,3.37,$0.68,4.95
