Texas Community Bancshares PE Ratio Historical Data,Texas Community Bancshares PE Ratio Historical Data,Texas Community Bancshares PE Ratio Historical Data,Texas Community Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.38,,0.0
2024-09-30,14.75,$-0.71,0.0
2024-06-30,14.6,$-0.73,0.0
2024-03-31,14.59,$-0.80,0.0
2023-12-31,14.12,$-0.24,0.0
2023-09-30,12.89,$-0.13,0.0
2023-06-30,12.14,$-0.10,0.0
2023-03-31,13.66,$-0.01,0.0
2022-12-31,15.35,$0.45,34.11
2022-09-30,15.52,$0.45,34.49
2022-06-30,16.47,$0.20,82.35
