RCM Technologies PE Ratio Historical Data,RCM Technologies PE Ratio Historical Data,RCM Technologies PE Ratio Historical Data,RCM Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.37,,11.82
2024-12-31,22.16,$1.30,17.05
2024-09-30,20.28,$1.95,10.4
2024-06-30,18.72,$2.06,9.09
2024-03-31,21.37,$2.06,10.37
2023-12-31,29.04,$1.99,14.59
2023-09-30,19.54,$1.82,10.74
2023-06-30,18.4,$1.69,10.89
2023-03-31,11.56,$1.79,6.46
2022-12-31,12.34,$2.00,6.17
2022-09-30,16.69,$2.06,8.1
2022-06-30,20.24,$1.97,10.27
2022-03-31,9.86,$1.51,6.53
2021-12-31,7.12,$0.97,7.34
2021-09-30,6.08,$0.28,21.71
2021-06-30,4.12,$0.02,206.0
2021-03-31,3.55,$-0.17,0.0
2020-12-31,2.07,$-0.70,0.0
2020-09-30,1.41,$-0.47,0.0
2020-06-30,1.34,$-0.42,0.0
2020-03-31,1.25,$-0.24,0.0
2019-12-31,3.0,$0.32,9.38
2019-09-30,3.0,$0.29,10.34
2019-06-30,4.0,$0.32,12.5
2019-03-31,3.94,$0.25,15.76
2018-12-31,3.1,$0.23,13.48
2018-09-30,4.27,$0.20,21.35
2018-06-30,4.94,$0.22,22.45
2018-03-31,5.77,$0.21,27.48
2017-12-31,6.25,$0.17,36.76
2017-09-30,5.72,$0.13,44.0
2017-06-30,5.05,$0.06,84.17
2017-03-31,4.76,$0.11,43.27
2016-12-31,6.36,$0.14,45.43
2016-09-30,6.63,$0.40,16.57
2016-06-30,5.21,$0.46,11.33
2016-03-31,5.31,$0.44,12.07
2015-12-31,5.5,$0.47,11.7
2015-09-30,4.06,$0.37,10.98
2015-06-30,4.68,$0.45,10.39
2015-03-31,5.53,$0.55,10.06
2014-12-31,5.78,$0.54,10.71
2014-09-30,4.86,$0.27,18.01
2014-06-30,4.09,$0.21,19.46
2014-03-31,4.33,$0.18,24.06
2013-12-31,4.48,$0.16,28.03
2013-09-30,3.87,$0.38,10.2
2013-06-30,3.49,$0.34,10.26
2013-03-31,3.89,$0.26,14.98
2012-12-31,3.31,$0.26,12.73
2012-09-30,2.99,$0.26,11.52
2012-06-30,3.0,$0.27,11.11
2012-03-31,3.02,$0.32,9.43
2011-12-31,2.8,$0.33,8.5
2011-09-30,2.39,$0.32,7.45
2011-06-30,2.9,$0.35,8.28
2011-03-31,2.76,$0.39,7.07
2010-12-31,2.51,$0.44,5.7
2010-09-30,2.72,$0.41,6.64
2010-06-30,2.42,$0.35,6.92
2010-03-31,1.69,$0.24,7.06
2009-12-31,1.36,$0.53,2.56
