Singularity Future Technology PE Ratio Historical Data,Singularity Future Technology PE Ratio Historical Data,Singularity Future Technology PE Ratio Historical Data,Singularity Future Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.69,,0.0
2024-12-31,1.62,$-0.72,0.0
2024-09-30,1.55,$-0.69,0.0
2024-06-30,4.98,$-1.72,0.0
2024-03-31,5.1,$-3.78,0.0
2023-12-31,5.4,$-9.06,0.0
2023-09-30,5.26,$-10.80,0.0
2023-06-30,4.92,$-9.50,0.0
2023-03-31,6.8,$-7.40,0.0
2022-12-31,4.2,$-1.80,0.0
2022-09-30,25.0,$-5.50,0.0
2022-06-30,30.3,$-7.30,0.0
2022-03-31,140.2,$-7.30,0.0
2021-12-31,47.7,$-10.50,0.0
2021-09-30,22.9,$-7.30,0.0
2021-06-30,32.3,$4.50,7.18
2021-03-31,64.8,$4.50,14.4
2020-12-31,20.6,$-3.30,0.0
2020-09-30,14.2,$-2.00,0.0
2020-06-30,30.5,$-17.00,0.0
2020-03-31,18.38,$-25.00,0.0
2019-12-31,22.5,$-18.50,0.0
2019-09-30,38.03,$-23.00,0.0
2019-06-30,35.5,$-23.00,0.0
2019-03-31,44.7,$-18.00,0.0
2018-12-31,38.33,$-13.00,0.0
2018-09-30,58.5,$-6.00,0.0
2018-06-30,59.25,$2.50,23.7
2018-03-31,56.0,$9.00,6.22
2017-12-31,128.0,$15.50,8.26
2017-09-30,153.5,$19.50,7.87
2017-06-30,144.0,$20.00,7.2
2017-03-31,137.5,$17.50,7.86
2016-12-31,155.0,$6.00,25.83
2016-09-30,64.5,$-8.50,0.0
2016-06-30,34.0,$-11.50,0.0
2016-03-31,32.3,$-13.50,0.0
2015-12-31,45.0,$-6.50,0.0
2015-09-30,41.35,$3.50,11.81
2015-06-30,76.0,$5.50,13.82
2015-03-31,72.0,$11.50,6.26
2014-12-31,79.0,$12.50,6.32
2014-09-30,108.0,$17.00,6.35
2014-06-30,100.5,$17.00,5.91
2014-03-31,129.51,$4.00,32.38
2013-12-31,125.0,$-2.50,0.0
2013-09-30,126.5,$-13.00,0.0
2013-06-30,70.55,$-19.50,0.0
2013-03-31,93.5,$-15.50,0.0
2012-12-31,89.5,$-20.50,0.0
2012-09-30,109.35,$-22.50,0.0
2012-06-30,133.5,$-30.50,0.0
2012-03-31,117.01,$-34.50,0.0
2011-12-31,110.0,$-29.00,0.0
2011-09-30,105.5,$-24.00,0.0
2011-06-30,72.51,$-15.00,0.0
2011-03-31,112.5,$-16.50,0.0
2010-12-31,119.0,$-14.50,0.0
2010-09-30,120.5,$-13.00,0.0
2010-06-30,117.51,$-9.00,0.0
2010-03-31,204.5,$-3.50,0.0
2009-12-31,165.5,$-1.50,0.0
