NewMarket PE Ratio Historical Data,NewMarket PE Ratio Historical Data,NewMarket PE Ratio Historical Data,NewMarket PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,538.34,,11.17
2024-12-31,528.35,$48.21,10.96
2024-09-30,549.39,$45.03,12.2
2024-06-30,510.95,$42.84,11.93
2024-03-31,625.95,$41.57,15.06
2023-12-31,536.21,$40.43,13.26
2023-09-30,445.23,$41.31,10.78
2023-06-30,391.49,$36.03,10.87
2023-03-31,353.37,$32.21,10.97
2022-12-31,299.38,$27.87,10.74
2022-09-30,287.54,$20.26,14.19
2022-06-30,285.63,$18.74,15.24
2022-03-31,305.64,$16.95,18.03
2021-12-31,320.78,$17.58,18.25
2021-09-30,315.05,$22.05,14.29
2021-06-30,297.51,$26.02,11.43
2021-03-31,349.26,$23.32,14.98
2020-12-31,364.14,$24.61,14.8
2020-09-30,311.48,$22.97,13.56
2020-06-30,362.53,$20.26,17.89
2020-03-31,344.93,$24.84,13.89
2019-12-31,436.07,$22.74,19.18
2019-09-30,421.47,$23.84,17.68
2019-06-30,356.47,$22.90,15.57
2019-03-31,383.8,$20.80,18.45
2018-12-31,363.33,$20.37,17.84
2018-09-30,355.95,$15.14,23.51
2018-06-30,353.51,$15.06,23.47
2018-03-31,349.49,$15.82,22.09
2017-12-31,344.31,$16.07,21.43
2017-09-30,367.2,$19.58,18.75
2017-06-30,395.51,$20.57,19.23
2017-03-31,387.84,$20.71,18.73
2016-12-31,361.26,$20.54,17.59
2016-09-30,364.58,$21.18,17.21
2016-06-30,350.56,$20.23,17.33
2016-03-31,333.89,$19.52,17.11
2015-12-31,319.49,$19.44,16.43
2015-09-30,298.32,$19.11,15.61
2015-06-30,369.59,$18.56,19.91
2015-03-31,396.62,$19.08,20.79
2014-12-31,333.97,$18.37,18.18
2014-09-30,314.19,$18.28,17.19
2014-06-30,322.46,$19.69,16.38
2014-03-31,320.44,$19.26,16.64
2013-12-31,273.21,$19.90,13.73
2013-09-30,234.61,$19.76,11.87
2013-06-30,213.27,$18.65,11.44
2013-03-31,210.81,$17.96,11.74
2012-12-31,211.57,$17.85,11.85
2012-09-30,180.36,$16.42,10.98
2012-06-30,158.03,$16.81,9.4
2012-03-31,136.23,$16.46,8.28
2011-12-31,143.42,$15.07,9.52
2011-09-30,109.52,$16.03,6.83
2011-06-30,122.65,$13.99,8.77
2011-03-31,113.23,$12.91,8.77
2010-12-31,88.0,$12.12,7.26
2010-09-30,80.8,$11.68,6.92
2010-06-30,61.85,$12.22,5.06
2010-03-31,72.67,$11.54,6.3
2009-12-31,80.68,$10.64,7.58
