Cemtrex PE Ratio Historical Data,Cemtrex PE Ratio Historical Data,Cemtrex PE Ratio Historical Data,Cemtrex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.61,,0.0
2024-12-31,2.89,"$-3,659.36",0.0
2024-09-30,241.5,"$-6,029.90",0.0
2024-06-30,462.0,"$-6,029.90",0.0
2024-03-31,8799.0,"$-8,102.68",0.0
2023-12-31,10521.0,"$-6,595.20",0.0
2023-09-30,10038.0,"$-21,460.58",0.0
2023-06-30,16028.04,"$-29,513.33",0.0
2023-03-31,17283.0,"$-29,029.58",0.0
2022-12-31,9091.95,"$-42,142.52",0.0
2022-09-30,15435.0,"$-39,531.67",0.0
2022-06-30,20484.45,"$-31,478.92",0.0
2022-03-31,46297.64,"$-24,890.31",0.0
2021-12-31,60262.64,$-732.07,0.0
2021-09-30,85259.99,"$7,320.68",11.65
2021-06-30,110984.99,"$7,320.68",15.16
2021-03-31,138179.98,"$-27,086.52",0.0
2020-12-31,99224.99,"$-70,278.53",0.0
2020-09-30,81584.99,"$-88,580.24",0.0
2020-06-30,120539.99,"$-88,580.24",0.0
2020-03-31,51045.74,"$-174,964.25",0.0
2019-12-31,95549.99,"$-223,280.75",0.0
2019-09-30,99224.99,"$-338,947.53",0.0
2019-06-30,233729.97,"$-338,947.53",0.0
2019-03-31,293999.97,"$-398,245.03",0.0
2018-12-31,337629.56,"$-292,827.22",0.0
2018-09-30,840839.91,"$-111,274.31",0.0
2018-06-30,1228919.86,"$-111,274.31",0.0
2018-03-31,1681679.82,"$128,843.98",13.05
2017-12-31,1498517.84,"$128,843.98",11.63
2017-09-30,1758119.81,"$169,839.80",10.35
2017-06-30,2116799.77,"$304,540.30",6.95
2017-03-31,2075639.77,"$333,823.03",6.22
2016-12-31,4314136.67,"$368,962.30",11.69
2016-09-30,2314902.6,"$339,679.57",6.81
2016-06-30,2157068.33,"$245,974.88",8.77
2016-03-31,1198371.3,"$228,405.25",5.25
