Gladstone Investment PE Ratio Historical Data,Gladstone Investment PE Ratio Historical Data,Gladstone Investment PE Ratio Historical Data,Gladstone Investment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.57,,7.07
2024-12-31,13.25,$1.92,6.9
2024-09-30,13.6,$1.06,12.83
2024-06-30,12.93,$2.04,6.34
2024-03-31,12.93,$2.48,5.22
2023-12-31,12.65,$1.99,6.35
2023-09-30,10.44,$2.27,4.6
2023-06-30,10.39,$1.21,8.58
2023-03-31,10.27,$1.31,7.84
2022-12-31,9.66,$1.67,5.78
2022-09-30,8.81,$1.51,5.83
2022-06-30,10.09,$2.02,5.0
2022-03-31,11.29,$3.08,3.67
2021-12-31,11.7,$3.20,3.66
2021-09-30,9.32,$3.35,2.78
2021-06-30,9.52,$2.70,3.53
2021-03-31,7.93,$1.28,6.19
2020-12-31,6.42,$-0.49,0.0
2020-09-30,5.67,$-0.54,0.0
2020-06-30,6.24,$-0.40,0.0
2020-03-31,4.65,$-0.22,0.0
2019-12-31,7.7,$0.99,7.78
2019-09-30,7.02,$1.08,6.5
2019-06-30,6.26,$1.67,3.75
2019-03-31,6.31,$2.48,2.54
2018-12-31,4.98,$3.09,1.61
2018-09-30,5.95,$3.12,1.91
2018-06-30,6.02,$2.61,2.31
2018-03-31,5.05,$1.88,2.69
2017-12-31,5.48,$1.52,3.6
2017-09-30,4.55,$1.35,3.37
2017-06-30,4.42,$0.93,4.75
2017-03-31,4.15,$1.50,2.76
2016-12-31,3.79,$1.94,1.95
2016-09-30,3.89,$1.37,2.84
2016-06-30,3.07,$1.37,2.24
2016-03-31,2.93,$0.82,3.57
2015-12-31,3.11,$1.18,2.64
2015-09-30,2.79,$1.68,1.66
2015-06-30,3.07,$1.78,1.73
2015-03-31,2.79,$1.90,1.47
2014-12-31,2.58,$0.83,3.1
2014-09-30,2.53,$0.14,18.1
2014-06-30,2.57,$0.61,4.22
2014-03-31,2.81,$-0.04,0.0
2013-12-31,2.68,$0.52,5.15
2013-09-30,2.27,$1.10,2.07
2013-06-30,2.32,$0.51,4.55
2013-03-31,2.26,$0.63,3.59
2012-12-31,2.11,$0.01,210.95
2012-09-30,2.32,$0.08,29.0
2012-06-30,2.15,$0.67,3.21
2012-03-31,2.16,$0.96,2.25
2011-12-31,2.03,$1.11,1.83
2011-09-30,1.86,$1.20,1.55
2011-06-30,1.91,$0.32,5.96
2011-03-31,2.04,$0.35,5.82
2010-12-31,1.98,$1.15,1.72
2010-09-30,1.7,$0.95,1.79
2010-06-30,1.45,$1.37,1.06
2010-03-31,1.46,$1.29,1.13
2009-12-31,1.09,$0.50,2.18
