United States Steel PE Ratio Historical Data,United States Steel PE Ratio Historical Data,United States Steel PE Ratio Historical Data,United States Steel PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,41.06,,27.56
2024-12-31,33.99,$1.49,22.81
2024-09-30,35.29,$1.52,23.22
2024-06-30,37.71,$2.24,16.83
2024-03-31,40.63,$3.41,11.91
2023-12-31,48.42,$3.51,13.79
2023-09-30,32.28,$4.55,7.09
2023-06-30,24.8,$5.20,4.77
2023-03-31,25.82,$6.73,3.84
2022-12-31,24.74,$8.97,2.76
2022-09-30,17.85,$12.04,1.48
2022-06-30,17.61,$17.16,1.03
2022-03-31,37.04,$17.27,2.14
2021-12-31,23.31,$14.60,1.6
2021-09-30,21.47,$11.07,1.94
2021-06-30,23.45,$3.04,7.71
2021-03-31,25.56,$-3.85,0.0
2020-12-31,16.37,$-6.50,0.0
2020-09-30,7.16,$-10.72,0.0
2020-06-30,7.03,$-10.15,0.0
2020-03-31,6.14,$-6.40,0.0
2019-12-31,11.08,$-3.79,0.0
2019-09-30,11.18,$3.54,3.16
2019-06-30,14.76,$5.65,2.61
2019-03-31,18.73,$6.46,2.9
2018-12-31,17.49,$6.25,2.8
2018-09-30,29.17,$3.82,7.64
2018-06-30,33.2,$3.03,10.96
2018-03-31,33.58,$3.31,10.14
2017-12-31,33.53,$2.18,15.38
2017-09-30,24.4,$0.67,36.42
2017-06-30,21.01,$0.16,131.32
2017-03-31,32.01,$-1.64,0.0
2016-12-31,31.21,$-2.93,0.0
2016-09-30,17.79,$-9.15,0.0
2016-06-30,15.87,$-10.65,0.0
2016-03-31,15.06,$-12.12,0.0
2015-12-31,7.44,$-10.32,0.0
2015-09-30,9.67,$-1.66,0.0
2015-06-30,19.09,$-1.90,0.0
2015-03-31,22.54,$-0.23,0.0
2014-12-31,24.65,$0.63,39.13
2014-09-30,36.07,$-2.04,0.0
2014-06-30,23.94,$-13.00,0.0
2014-03-31,25.34,$-13.42,0.0
2013-12-31,27.02,$-14.27,0.0
2013-09-30,18.82,$-13.78,0.0
2013-06-30,15.98,$-1.12,0.0
2013-03-31,17.74,$0.04,443.38
2012-12-31,21.64,$-0.97,0.0
2012-09-30,17.26,$-2.08,0.0
2012-06-30,18.61,$-2.21,0.0
2012-03-31,26.48,$-1.50,0.0
2011-12-31,23.82,$-0.58,0.0
2011-09-30,19.78,$-0.86,0.0
2011-06-30,41.3,$-1.36,0.0
2011-03-31,48.33,$-2.86,0.0
2010-12-31,52.3,$-3.36,0.0
2010-09-30,39.21,$-3.48,0.0
2010-06-30,34.44,$-5.24,0.0
2010-03-31,56.7,$-7.99,0.0
2009-12-31,49.15,$-10.67,0.0
