PowerFleet PE Ratio Historical Data,PowerFleet PE Ratio Historical Data,PowerFleet PE Ratio Historical Data,PowerFleet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.82,,0.0
2024-12-31,6.66,$-0.34,0.0
2024-09-30,5.0,$-0.23,0.0
2024-06-30,4.57,$-0.35,0.0
2024-03-31,5.34,$-0.26,0.0
2023-12-31,3.42,$-0.18,0.0
2023-09-30,2.07,$-0.18,0.0
2023-06-30,3.0,$-0.14,0.0
2023-03-31,3.43,$-0.06,0.0
2022-12-31,2.69,$-0.26,0.0
2022-09-30,3.08,$-0.26,0.0
2022-06-30,2.17,$-0.29,0.0
2022-03-31,2.97,$-0.33,0.0
2021-12-31,4.74,$-0.30,0.0
2021-09-30,6.7,$-0.30,0.0
2021-06-30,7.2,$-0.23,0.0
2021-03-31,8.22,$-0.28,0.0
2020-12-31,7.43,$-0.35,0.0
2020-09-30,5.63,$-0.35,0.0
2020-06-30,4.62,$-0.41,0.0
2020-03-31,3.46,$-0.43,0.0
2019-12-31,6.51,$-0.39,0.0
2019-09-30,5.47,$-0.39,0.0
2019-06-30,5.88,$-0.32,0.0
2019-03-31,5.93,$-0.24,0.0
2018-12-31,5.59,$-0.18,0.0
2018-09-30,6.95,$-0.18,0.0
2018-06-30,6.19,$-0.17,0.0
2018-03-31,6.22,$-0.14,0.0
2017-12-31,6.94,$-0.22,0.0
2017-09-30,7.51,$-0.22,0.0
2017-06-30,6.13,$-0.34,0.0
2017-03-31,6.33,$-0.42,0.0
2016-12-31,5.42,$-0.33,0.0
2016-09-30,4.94,$-0.33,0.0
2016-06-30,4.81,$-0.32,0.0
2016-03-31,4.34,$-0.45,0.0
2015-12-31,4.6,$-0.72,0.0
2015-09-30,3.21,$-0.72,0.0
2015-06-30,6.1,$-0.77,0.0
2015-03-31,6.37,$-0.66,0.0
2014-12-31,6.69,$-0.58,0.0
2014-09-30,7.39,$-0.58,0.0
2014-06-30,5.44,$-0.39,0.0
2014-03-31,5.68,$-0.39,0.0
2013-12-31,5.79,$-0.37,0.0
2013-09-30,6.16,$-0.37,0.0
2013-06-30,5.03,$-0.18,0.0
2013-03-31,5.7,$-0.22,0.0
2012-12-31,5.82,$-0.14,0.0
2012-09-30,5.76,$-0.14,0.0
2012-06-30,4.38,$-0.34,0.0
2012-03-31,5.98,$-0.35,0.0
2011-12-31,4.73,$-0.37,0.0
2011-09-30,5.07,$-0.37,0.0
2011-06-30,4.65,$-0.52,0.0
2011-03-31,4.6,$-0.69,0.0
2010-12-31,3.34,$-0.89,0.0
2010-09-30,1.99,$-0.89,0.0
2010-06-30,2.65,$-0.99,0.0
2010-03-31,2.99,$-0.84,0.0
2009-12-31,3.21,$-0.76,0.0
