TeleTech Holdings PE Ratio Historical Data,TeleTech Holdings PE Ratio Historical Data,TeleTech Holdings PE Ratio Historical Data,TeleTech Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.48,,0.0
2024-12-31,4.99,$-6.74,0.0
2024-09-30,5.87,$-6.99,0.0
2024-06-30,5.88,$-6.58,0.0
2024-03-31,10.31,$-0.26,0.0
2023-12-31,21.54,$0.18,119.64
2023-09-30,25.47,$0.86,29.62
2023-06-30,32.87,$1.36,24.17
2023-03-31,36.16,$1.86,19.44
2022-12-31,42.26,$2.18,19.39
2022-09-30,41.96,$2.32,18.09
2022-06-30,64.29,$2.15,29.9
2022-03-31,78.14,$2.62,29.82
2021-12-31,85.24,$2.97,28.7
2021-09-30,87.6,$3.30,26.55
2021-06-30,96.56,$3.45,27.99
2021-03-31,93.68,$3.12,30.03
2020-12-31,68.01,$2.52,26.99
2020-09-30,49.18,$2.18,22.56
2020-06-30,41.98,$2.12,19.8
2020-03-31,33.1,$1.70,19.47
2019-12-31,35.39,$1.65,21.45
2019-09-30,42.77,$1.49,28.7
2019-06-30,41.34,$1.22,33.89
2019-03-31,32.15,$1.09,29.49
2018-12-31,25.14,$0.78,32.23
2018-09-30,22.54,$-0.55,0.0
2018-06-30,30.07,$-0.35,0.0
2018-03-31,26.72,$-0.15,0.0
2017-12-31,34.73,$0.17,204.28
2017-09-30,35.81,$1.05,34.11
2017-06-30,35.0,$0.97,36.08
2017-03-31,25.39,$0.89,28.53
2016-12-31,25.97,$0.70,37.09
2016-09-30,24.68,$1.06,23.28
2016-06-30,22.94,$1.05,21.84
2016-03-31,23.47,$1.11,21.14
2015-12-31,23.44,$1.26,18.6
2015-09-30,22.5,$1.35,16.67
2015-06-30,22.59,$1.39,16.25
2015-03-31,21.23,$1.43,14.85
2014-12-31,19.61,$1.45,13.52
2014-09-30,20.35,$1.39,14.64
2014-06-30,24.01,$1.46,16.44
2014-03-31,20.3,$1.35,15.03
2013-12-31,19.82,$1.29,15.37
2013-09-30,20.78,$1.29,16.11
2013-06-30,19.4,$1.47,13.2
2013-03-31,17.56,$1.34,13.11
2012-12-31,14.74,$1.28,11.52
2012-09-30,14.12,$1.18,11.97
2012-06-30,13.25,$1.10,12.04
2012-03-31,13.33,$1.38,9.66
2011-12-31,13.41,$1.28,10.48
2011-09-30,12.62,$1.07,11.79
2011-06-30,17.46,$0.94,18.57
2011-03-31,16.05,$0.78,20.57
2010-12-31,17.05,$0.81,21.05
2010-09-30,12.29,$1.05,11.7
2010-06-30,10.67,$1.06,10.07
2010-03-31,14.14,$1.09,12.98
2009-12-31,16.59,$1.11,14.94
