ECARX Holdings PE Ratio Historical Data,ECARX Holdings PE Ratio Historical Data,ECARX Holdings PE Ratio Historical Data,ECARX Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.71,,0.0
2024-09-30,1.91,$-0.50,0.0
2024-06-30,2.06,$-0.47,0.0
2024-03-31,1.96,$-0.42,0.0
2023-12-31,3.16,$-0.38,0.0
2023-09-30,3.1,$-0.53,0.0
2023-06-30,6.96,$-0.42,0.0
2023-03-31,5.84,$-0.35,0.0
2022-12-31,7.99,$-0.27,0.0
2022-09-30,9.95,0,0.0
2022-06-30,9.83,0,0.0
2022-03-31,9.8,0,0.0
2021-12-31,9.76,0,0.0
