Largo PE Ratio Historical Data,Largo PE Ratio Historical Data,Largo PE Ratio Historical Data,Largo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.88,,0.0
2024-09-30,2.09,$-0.80,0.0
2024-06-30,1.85,$-0.83,0.0
2024-03-31,1.65,$-0.69,0.0
2023-12-31,2.31,$-0.51,0.0
2023-09-30,2.83,$-0.54,0.0
2023-06-30,4.29,$-0.39,0.0
2023-03-31,5.18,$-0.02,0.0
2022-12-31,5.38,$-0.03,0.0
2022-09-30,5.27,$0.22,23.95
2022-06-30,6.84,$0.40,17.1
2022-03-31,12.7,$0.25,50.8
2021-12-31,9.26,$0.35,26.46
