Sun Communities PE Ratio Historical Data,Sun Communities PE Ratio Historical Data,Sun Communities PE Ratio Historical Data,Sun Communities PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,131.6,,177.84
2024-12-31,122.97,$0.74,166.18
2024-09-30,135.15,$1.86,72.66
2024-06-30,119.51,$0.86,138.96
2024-03-31,126.7,$1.16,109.23
2023-12-31,130.73,$1.14,114.67
2023-09-30,114.96,$1.83,62.82
2023-06-30,125.75,$1.84,68.34
2023-03-31,134.81,$1.73,77.93
2022-12-31,135.93,$1.98,68.65
2022-09-30,127.87,$2.05,62.37
2022-06-30,149.59,$2.73,54.79
2022-03-31,163.64,$3.10,52.79
2021-12-31,195.05,$3.32,58.75
2021-09-30,171.27,$3.28,52.22
2021-06-30,157.9,$2.11,74.84
2021-03-31,137.56,$1.74,79.06
2020-12-31,138.55,$1.34,103.39
2020-09-30,127.53,$1.58,80.72
2020-06-30,122.37,$1.38,88.68
2020-03-31,111.95,$1.23,91.01
2019-12-31,133.72,$1.80,74.29
2019-09-30,131.59,$1.60,82.24
2019-06-30,113.06,$1.53,73.89
2019-03-31,103.91,$1.32,78.72
2018-12-31,88.62,$1.30,68.17
2018-09-30,87.85,$1.28,68.63
2018-06-30,84.08,$1.03,81.63
2018-03-31,77.93,$0.94,82.9
2017-12-31,78.52,$0.85,92.37
2017-09-30,71.99,$0.74,97.28
2017-06-30,73.1,$0.70,104.43
2017-03-31,66.46,$0.42,158.23
2016-12-31,62.85,$0.27,232.78
2016-09-30,63.83,$1.85,34.5
2016-06-30,61.83,$2.12,29.17
2016-03-31,57.28,$2.47,23.19
2015-12-31,54.31,$2.46,22.08
2015-09-30,53.21,$0.62,85.82
2015-06-30,48.08,$0.62,77.55
2015-03-31,51.36,$0.51,100.7
2014-12-31,46.09,$0.59,78.11
2014-09-30,38.1,$0.87,43.79
2014-06-30,37.13,$0.43,86.35
2014-03-31,33.16,$0.34,97.52
2013-12-31,30.9,$0.32,96.55
2013-09-30,30.42,$0.27,112.68
2013-06-30,35.02,$0.15,233.46
2013-03-31,34.26,$0.18,190.35
2012-12-31,27.35,$0.20,136.77
2012-09-30,28.93,$0.15,192.88
2012-06-30,28.61,$0.15,190.73
2012-03-31,27.6,$0.05,552.0
2011-12-31,23.27,$-0.05,0.0
2011-09-30,21.65,$0.03,721.83
2011-06-30,22.59,$-0.02,0.0
2011-03-31,21.21,$-0.11,0.0
2010-12-31,19.45,$-0.15,0.0
2010-09-30,17.57,$-0.29,0.0
2010-06-30,14.52,$-0.33,0.0
2010-03-31,13.77,$-0.32,0.0
2009-12-31,10.46,$-0.34,0.0
