XBiotech PE Ratio Historical Data,XBiotech PE Ratio Historical Data,XBiotech PE Ratio Historical Data,XBiotech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.45,,0.0
2024-12-31,3.95,$-0.92,0.0
2024-09-30,7.73,$-1.08,0.0
2024-06-30,5.14,$-1.16,0.0
2024-03-31,8.13,$-1.02,0.0
2023-12-31,4.0,$-0.82,0.0
2023-09-30,4.12,$-0.76,0.0
2023-06-30,5.94,$-0.94,0.0
2023-03-31,3.45,$-1.03,0.0
2022-12-31,3.51,$-1.08,0.0
2022-09-30,3.62,$-1.19,0.0
2022-06-30,5.63,$-0.88,0.0
2022-03-31,8.64,$-0.67,0.0
2021-12-31,11.13,$-0.58,0.0
2021-09-30,12.95,$-0.43,0.0
2021-06-30,14.41,$-0.41,0.0
2021-03-31,14.94,$-0.48,0.0
2020-12-31,13.62,$-0.39,0.0
2020-09-30,16.61,$14.49,1.15
2020-06-30,11.93,$14.43,0.83
2020-03-31,9.24,$14.51,0.64
2019-12-31,16.24,$14.35,1.13
2019-09-30,9.1,$-0.64,0.0
2019-06-30,6.6,$-0.63,0.0
2019-03-31,9.59,$-0.63,0.0
2018-12-31,4.42,$-0.58,0.0
2018-09-30,2.77,$-0.64,0.0
2018-06-30,3.9,$-0.68,0.0
2018-03-31,4.66,$-0.78,0.0
2017-12-31,3.43,$-0.99,0.0
2017-09-30,3.8,$-1.27,0.0
2017-06-30,4.09,$-1.47,0.0
2017-03-31,14.35,$-1.63,0.0
2016-12-31,8.81,$-1.63,0.0
2016-09-30,11.71,$-1.49,0.0
2016-06-30,18.21,$-1.44,0.0
2016-03-31,8.22,$-1.24,0.0
