CION Investment PE Ratio Historical Data,CION Investment PE Ratio Historical Data,CION Investment PE Ratio Historical Data,CION Investment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.94,,20.64
2024-12-31,11.4,$0.53,21.51
2024-09-30,11.9,$1.47,8.1
2024-06-30,12.12,$2.35,5.16
2024-03-31,11.0,$2.44,4.51
2023-12-31,11.31,$1.76,6.43
2023-09-30,10.57,$0.99,10.68
2023-06-30,10.38,$0.72,14.42
2023-03-31,9.87,$0.19,51.95
2022-12-31,9.75,$0.89,10.96
2022-09-30,8.5,$1.00,8.5
