Precigen PE Ratio Historical Data,Precigen PE Ratio Historical Data,Precigen PE Ratio Historical Data,Precigen PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.8,,0.0
2024-12-31,1.12,$-0.42,0.0
2024-09-30,0.95,$-0.55,0.0
2024-06-30,1.58,$-0.54,0.0
2024-03-31,1.45,$-0.39,0.0
2023-12-31,1.34,$-0.39,0.0
2023-09-30,1.42,$-0.26,0.0
2023-06-30,1.15,$0.26,4.42
2023-03-31,1.06,$0.25,4.24
2022-12-31,1.52,$0.25,6.08
2022-09-30,2.12,$0.12,17.67
2022-06-30,1.34,$-0.47,0.0
2022-03-31,2.11,$-0.48,0.0
2021-12-31,3.71,$-0.47,0.0
2021-09-30,4.99,$-0.57,0.0
2021-06-30,6.52,$-0.60,0.0
2021-03-31,6.89,$-0.76,0.0
2020-12-31,10.2,$-1.02,0.0
2020-09-30,3.5,$-1.88,0.0
2020-06-30,4.99,$-2.05,0.0
2020-03-31,3.4,$-2.04,0.0
2019-12-31,5.48,$-2.09,0.0
2019-09-30,5.72,$-3.59,0.0
2019-06-30,7.66,$-3.68,0.0
2019-03-31,5.26,$-3.94,0.0
2018-12-31,6.54,$-3.87,0.0
2018-09-30,17.22,$-1.51,0.0
2018-06-30,13.94,$-1.40,0.0
2018-03-31,15.33,$-1.05,0.0
2017-12-31,11.52,$-0.98,0.0
2017-09-30,19.01,$-1.12,0.0
2017-06-30,24.09,$-1.03,0.0
2017-03-31,19.82,$-1.29,0.0
2016-12-31,24.04,$-1.58,0.0
2016-09-30,27.73,$-1.49,0.0
2016-06-30,24.35,$-1.59,0.0
2016-03-31,33.53,$-1.54,0.0
2015-12-31,29.83,$-0.74,0.0
2015-09-30,31.47,$-0.28,0.0
2015-06-30,48.29,$-0.47,0.0
2015-03-31,44.89,$-0.63,0.0
2014-12-31,27.24,$-0.84,0.0
2014-09-30,18.38,$-1.15,0.0
2014-06-30,24.87,$-0.47,0.0
