Atmus Filtration Technologies PE Ratio Historical Data,Atmus Filtration Technologies PE Ratio Historical Data,Atmus Filtration Technologies PE Ratio Historical Data,Atmus Filtration Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,38.31,,17.33
2024-12-31,39.18,$2.21,17.73
2024-09-30,37.53,$2.15,17.46
2024-06-30,28.78,$2.08,13.84
2024-03-31,32.25,$1.96,16.45
