VYNE Therapeutics PE Ratio Historical Data,VYNE Therapeutics PE Ratio Historical Data,VYNE Therapeutics PE Ratio Historical Data,VYNE Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.68,,0.0
2024-12-31,3.35,$-0.94,0.0
2024-09-30,1.88,$-0.86,0.0
2024-06-30,1.97,$-2.58,0.0
2024-03-31,3.07,$-5.45,0.0
2023-12-31,2.33,$-7.04,0.0
2023-09-30,4.04,$-10.17,0.0
2023-06-30,4.1,$-11.04,0.0
2023-03-31,3.08,$-10.65,0.0
2022-12-31,2.7,$-7.47,0.0
2022-09-30,4.02,$-8.09,0.0
2022-06-30,7.0,$-12.59,0.0
2022-03-31,11.7,$-16.91,0.0
2021-12-31,18.36,$-25.90,0.0
2021-09-30,25.02,$-31.83,0.0
2021-06-30,63.18,$-35.25,0.0
2021-03-31,123.21,$-115.29,0.0
2020-12-31,113.76,$-176.08,0.0
2020-09-30,119.52,$-230.22,0.0
2020-06-30,124.56,$-269.78,0.0
2020-03-31,192.96,$-232.37,0.0
2019-12-31,334.08,$-222.30,0.0
2019-09-30,322.56,$-212.95,0.0
2019-06-30,431.28,$-202.88,0.0
2019-03-31,565.2,$-179.14,0.0
2018-12-31,296.64,$-172.66,0.0
