Haynes PE Ratio Historical Data,Haynes PE Ratio Historical Data,Haynes PE Ratio Historical Data,Haynes PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-11-07,60.48,,20.78
2024-06-30,58.49,$2.91,20.1
2024-03-31,59.68,$2.96,20.16
2023-12-31,56.42,$3.26,17.31
2023-09-30,45.8,$3.27,14.01
2023-06-30,49.81,$3.55,14.03
2023-03-31,48.85,$4.11,11.89
2022-12-31,44.38,$3.82,11.62
2022-09-30,33.96,$3.58,9.49
2022-06-30,31.52,$2.48,12.71
2022-03-31,40.74,$1.27,32.08
2021-12-31,38.34,$0.31,123.66
2021-09-30,35.21,$-0.71,0.0
2021-06-30,33.26,$-1.37,0.0
2021-03-31,27.72,$-2.05,0.0
2020-12-31,22.1,$-1.44,0.0
2020-09-30,15.68,$-0.53,0.0
2020-06-30,21.18,$0.41,51.66
2020-03-31,18.51,$1.36,13.61
2019-12-31,31.86,$1.16,27.46
2019-09-30,31.72,$0.77,41.19
2019-06-30,27.94,$0.46,60.74
2019-03-31,28.63,$0.22,130.13
2018-12-31,22.88,$-0.07,0.0
2018-09-30,30.56,$-1.76,0.0
2018-06-30,31.45,$-2.23,0.0
2018-03-31,31.6,$-2.61,0.0
2017-12-31,27.15,$-2.59,0.0
2017-09-30,30.21,$-0.83,0.0
2017-06-30,30.33,$-0.28,0.0
2017-03-31,31.65,$0.26,121.72
2016-12-31,35.49,$0.32,110.92
2016-09-30,30.49,$0.40,76.21
2016-06-30,26.2,$0.61,42.95
2016-03-31,29.58,$0.92,32.15
2015-12-31,29.52,$1.95,15.14
2015-09-30,30.28,$2.44,12.41
2015-06-30,39.24,$2.49,15.76
2015-03-31,35.33,$2.13,16.59
2014-12-31,38.2,$1.09,35.05
2014-09-30,36.06,$0.29,124.35
2014-06-30,44.18,$0.10,441.79
2014-03-31,41.99,$0.36,116.63
2013-12-31,42.76,$0.98,43.63
2013-09-30,34.89,$1.74,20.05
2013-06-30,36.73,$2.46,14.93
2013-03-31,42.24,$3.14,13.45
2012-12-31,39.46,$3.85,10.25
2012-09-30,39.49,$4.06,9.73
2012-06-30,38.39,$3.94,9.74
2012-03-31,47.55,$3.52,13.51
2011-12-31,40.84,$2.80,14.59
2011-09-30,32.37,$2.55,12.69
2011-06-30,45.98,$2.08,22.1
2011-03-31,41.02,$1.70,24.13
2010-12-31,30.82,$1.27,24.27
2010-09-30,25.6,$0.59,43.4
2010-06-30,22.45,$-0.77,0.0
2010-03-31,25.72,$-4.66,0.0
2009-09-30,22.71,$-4.85,0.0
