Kewaunee Scientific PE Ratio Historical Data,Kewaunee Scientific PE Ratio Historical Data,Kewaunee Scientific PE Ratio Historical Data,Kewaunee Scientific PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,49.49,,8.37
2025-01-31,64.3,$5.91,10.88
2024-10-31,31.72,$6.31,5.03
2024-07-31,55.62,$6.23,8.93
2024-04-30,35.7,$6.35,5.62
2024-01-31,28.14,$2.98,9.44
2023-10-31,18.25,$2.38,7.67
2023-07-31,15.66,$1.36,11.51
2023-04-30,16.25,$0.23,70.65
2023-01-31,16.5,$-0.24,0.0
2022-10-31,16.9,$-0.96,0.0
2022-07-31,18.56,$-1.98,0.0
2022-04-30,14.26,$-2.19,0.0
2022-01-31,14.65,$-3.14,0.0
2021-10-31,12.8,$-2.64,0.0
2021-07-31,13.31,$-1.60,0.0
2021-04-30,12.0,$-1.34,0.0
2021-01-31,13.2,$-0.65,0.0
2020-10-31,8.2,$-1.38,0.0
2020-07-31,9.52,$-2.10,0.0
2020-04-30,10.23,$-1.71,0.0
2020-01-31,12.56,$-1.78,0.0
2019-10-31,16.09,$-1.09,0.0
2019-07-31,18.03,$0.21,85.85
2019-04-30,22.16,$0.54,41.03
2019-01-31,31.24,$1.52,20.55
2018-10-31,28.17,$1.84,15.31
2018-07-31,30.3,$1.95,15.54
2018-04-30,33.34,$1.87,17.83
2018-01-31,27.32,$1.86,14.69
2017-10-31,26.87,$1.67,16.09
2017-07-31,23.77,$1.59,14.95
2017-04-30,21.32,$1.65,12.92
2017-01-31,23.31,$1.64,14.21
2016-10-31,20.55,$1.83,11.23
2016-07-31,18.5,$1.55,11.94
2016-04-30,15.16,$1.42,10.68
2016-01-31,15.16,$1.15,13.18
2015-10-31,14.88,$1.02,14.59
2015-07-31,14.73,$1.21,12.17
2015-04-30,13.91,$1.33,10.46
2015-01-31,15.4,$1.47,10.48
2014-10-31,15.11,$1.51,10.01
2014-07-31,15.55,$1.34,11.6
2014-04-30,14.35,$1.48,9.7
2014-01-31,14.08,$1.57,8.97
2013-10-31,14.67,$1.56,9.41
2013-07-31,11.25,$1.53,7.35
2013-04-30,10.87,$1.17,9.29
2013-01-31,10.23,$1.20,8.52
2012-10-31,9.22,$0.94,9.81
2012-07-31,9.63,$0.64,15.05
2012-04-30,6.9,$0.40,17.24
2012-01-31,7.42,$0.01,0.0
2011-10-31,7.54,$0.09,83.79
2011-07-31,7.67,$0.47,16.33
2011-04-30,8.52,$0.71,12.0
2011-01-31,10.45,$0.81,12.9
2010-10-31,8.47,$1.02,8.3
2010-07-31,8.46,$1.22,6.94
2010-04-30,9.79,$1.39,7.04
2010-01-31,10.59,$1.55,6.83
2009-10-31,9.7,$1.66,5.84
