Sysco PE Ratio Historical Data,Sysco PE Ratio Historical Data,Sysco PE Ratio Historical Data,Sysco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,71.19,,18.3
2024-12-31,76.46,$3.89,19.66
2024-09-30,77.54,$3.89,19.93
2024-06-30,70.4,$3.89,18.1
2024-03-31,79.53,$4.10,19.4
2023-12-31,71.17,$4.09,17.4
2023-09-30,63.78,$3.55,17.97
2023-06-30,71.17,$3.47,20.51
2023-03-31,73.61,$3.02,24.37
2022-12-31,72.4,$2.77,26.14
2022-09-30,66.52,$2.82,23.59
2022-06-30,79.69,$2.64,30.19
2022-03-31,76.37,$1.94,39.37
2021-12-31,72.62,$1.52,47.78
2021-09-30,72.58,$1.32,54.98
2021-06-30,71.02,$1.01,70.32
2021-03-31,71.92,$-0.50,0.0
2020-12-31,67.05,$-0.68,0.0
2020-09-30,55.78,$-0.07,0.0
2020-06-30,48.59,$0.38,127.87
2020-03-31,40.13,$2.63,15.26
2019-12-31,74.83,$3.49,21.44
2019-09-30,69.11,$3.26,21.2
2019-06-30,61.22,$3.20,19.13
2019-03-31,57.46,$3.02,19.03
2018-12-31,53.59,$2.80,19.14
2018-09-30,62.33,$2.83,22.03
2018-06-30,57.81,$2.71,21.33
2018-03-31,50.46,$2.43,20.77
2017-12-31,50.81,$2.24,22.68
2017-09-30,44.86,$2.20,20.39
2017-06-30,41.57,$2.09,19.89
2017-03-31,42.62,$1.90,22.43
2016-12-31,45.18,$1.84,24.55
2016-09-30,39.73,$1.82,21.83
2016-06-30,41.13,$1.65,24.93
2016-03-31,37.65,$1.39,27.09
2015-12-31,32.56,$1.31,24.86
2015-09-30,30.95,$1.10,28.14
2015-06-30,28.45,$1.16,24.53
2015-03-31,29.49,$1.47,20.06
2014-12-31,30.78,$1.48,20.8
2014-09-30,28.99,$1.57,18.46
2014-06-30,28.38,$1.58,17.96
2014-03-31,27.16,$1.62,16.77
2013-12-31,27.14,$1.65,16.45
2013-09-30,23.53,$1.67,14.09
2013-06-30,25.05,$1.68,14.91
2013-03-31,25.58,$1.74,14.7
2012-12-31,22.83,$1.84,12.41
2012-09-30,22.35,$1.89,11.83
2012-06-30,21.12,$1.91,11.06
2012-03-31,20.96,$1.95,10.75
2011-12-31,20.4,$1.95,10.46
2011-09-30,17.83,$1.96,9.1
2011-06-30,21.47,$1.96,10.95
2011-03-31,18.91,$1.96,9.65
2010-12-31,19.71,$1.94,10.16
2010-09-30,19.12,$1.95,9.81
2010-06-30,18.99,$1.99,9.54
2010-03-31,19.44,$1.95,9.97
2009-12-31,18.26,$1.91,9.56
