Mesa Royalty Trust PE Ratio Historical Data,Mesa Royalty Trust PE Ratio Historical Data,Mesa Royalty Trust PE Ratio Historical Data,Mesa Royalty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.42,,20.06
2024-09-30,5.67,$0.32,17.71
2024-06-30,8.8,$0.47,18.72
2024-03-31,10.53,$1.21,8.7
2023-12-31,13.01,$1.53,8.5
2023-09-30,14.87,$1.40,10.62
2023-06-30,23.9,$1.83,13.06
2023-03-31,15.0,$1.47,10.2
2022-12-31,20.14,$1.40,14.38
2022-09-30,11.18,$1.40,7.99
2022-06-30,9.29,$0.82,11.33
2022-03-31,7.08,$0.61,11.6
2021-12-31,4.84,$0.29,16.7
2021-09-30,4.38,$0.29,15.1
2021-06-30,4.85,$0.29,16.71
2021-03-31,3.48,$0.11,31.62
2020-12-31,2.99,$0.31,9.65
2020-09-30,2.87,$0.43,6.68
2020-06-30,3.77,$0.52,7.25
2020-03-31,3.52,$0.70,5.03
2019-12-31,4.85,$0.87,5.57
2019-09-30,5.92,$1.08,5.48
2019-06-30,7.79,$1.21,6.44
2019-03-31,8.26,$1.18,7.0
2018-12-31,6.96,$1.15,6.05
2018-09-30,9.03,$0.82,11.01
2018-06-30,8.92,$0.92,9.7
2018-03-31,9.17,$1.02,8.99
2017-12-31,11.0,$1.15,9.56
2017-09-30,9.01,$1.42,6.35
2017-06-30,6.66,$1.32,5.04
2017-03-31,7.34,$1.04,7.06
2016-12-31,5.84,$0.65,8.99
2016-09-30,4.33,$0.59,7.34
2016-06-30,5.53,$0.59,9.37
2016-03-31,4.16,$0.77,5.4
2015-12-31,3.75,$1.03,3.64
2015-09-30,4.81,$1.42,3.38
2015-06-30,6.72,$2.15,3.12
2015-03-31,9.96,$3.20,3.11
2014-12-31,11.95,$3.50,3.41
2014-09-30,15.78,$3.40,4.64
2014-06-30,14.95,$2.92,5.12
2014-03-31,10.87,$1.96,5.55
2013-12-31,8.69,$1.85,4.7
2013-09-30,9.25,$1.80,5.14
2013-06-30,8.91,$1.70,5.24
2013-03-31,9.51,$1.82,5.23
2012-12-31,7.29,$1.93,3.78
2012-09-30,9.33,$2.20,4.24
2012-06-30,12.5,$2.80,4.47
2012-03-31,14.03,$3.11,4.51
2011-12-31,14.17,$3.08,4.6
2011-09-30,15.32,$3.11,4.92
2011-06-30,15.35,$2.90,5.29
2011-03-31,16.67,$3.18,5.24
2010-12-31,16.34,$3.50,4.67
2010-09-30,15.11,$3.39,4.46
2010-06-30,14.75,$3.09,4.77
2010-03-31,13.05,$2.41,5.41
2009-12-31,11.33,$2.06,5.5
