Hyperscale Data PE Ratio Historical Data,Hyperscale Data PE Ratio Historical Data,Hyperscale Data PE Ratio Historical Data,Hyperscale Data PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.37,,0.0
2024-09-30,8.04,$-59.44,0.0
2024-06-30,10.14,"$-3,504.90",0.0
2024-03-31,13.2,"$-47,243.35",0.0
2023-12-31,81.81,"$-83,295.45",0.0
2023-09-30,287.88,"$-83,295.45",0.0
2023-06-30,4506.25,"$-87,771.78",0.0
2023-03-31,27431.25,"$-67,835.35",0.0
2022-12-31,32156.25,"$-116,550.10",0.0
2022-09-30,48037.5,"$-116,550.10",0.0
2022-06-30,69693.75,"$-301,970.79",0.0
2022-03-31,221313.74,"$-68,870.50",0.0
2021-12-31,312374.99,"$29,137.54",10.72
2021-09-30,637874.98,"$29,137.54",21.89
2021-06-30,740249.97,"$-225,153.56",0.0
2021-03-31,863624.97,"$-497,986.86",0.0
2020-12-31,1141874.96,"$-511,231.20",0.0
2020-09-30,527624.98,"$-511,231.20",0.0
2020-06-30,643124.98,"$-1,777,388.80",0.0
2020-03-31,184353.74,"$-3,038,249.00",0.0
2019-12-31,312374.99,"$-15,434,949.00",0.0
2019-09-30,548624.98,"$-15,434,949.00",0.0
2019-06-30,3149999.89,"$-37,031,153.00",0.0
2019-03-31,3042899.89,"$-63,254,930.00",0.0
2018-12-31,21524999.25,"$-51,888,533.00",0.0
2018-09-30,87884996.92,"$-54,433,987.00",0.0
2018-06-30,100000000.0,"$-62,910,367.00",0.0
2018-03-31,100000000.0,"$-36,574,278.00",0.0
2017-12-31,100000000.0,"$-60,973,095.00",0.0
2017-09-30,100000000.0,"$-85,975,851.00",0.0
2017-06-30,100000000.0,"$-56,308,544.00",0.0
2017-03-31,100000000.0,"$-52,977,330.00",0.0
2016-12-31,100000000.0,"$-33,905,489.00",0.0
2016-09-30,100000000.0,"$-12,714,558.00",0.0
2016-06-30,84881997.03,"$-23,310,025.00",0.0
2016-03-31,86099996.99,"$-33,905,489.00",0.0
2015-12-31,100000000.0,"$-33,905,489.00",0.0
2015-09-30,100000000.0,"$-42,381,860.00",0.0
2015-06-30,100000000.0,"$-33,905,486.00",0.0
2015-03-31,100000000.0,"$-21,190,929.00",0.0
2014-12-31,100000000.0,"$-19,071,836.00",0.0
2014-09-30,100000000.0,"$-14,833,656.00",0.0
2014-06-30,100000000.0,"$-19,071,841.00",0.0
2014-03-31,100000000.0,"$-27,548,213.00",0.0
2013-12-31,100000000.0,"$-19,071,841.00",0.0
2013-09-30,100000000.0,"$-21,190,931.00",0.0
2013-06-30,100000000.0,"$-27,548,210.00",0.0
2013-03-31,100000000.0,"$-8,476,374.00",0.0
2012-12-31,100000000.0,"$-10,595,467.00",0.0
2012-09-30,100000000.0,"$14,833,653.00",6.74
2012-06-30,100000000.0,"$44,500,953.00",2.25
2012-03-31,100000000.0,"$42,381,863.00",2.36
2011-12-31,100000000.0,"$44,500,956.00",2.25
2011-09-30,100000000.0,"$38,143,675.00",2.62
2011-06-30,100000000.0,"$31,786,396.00",3.15
2011-03-31,100000000.0,"$25,429,115.00",3.93
2010-12-31,100000000.0,"$16,952,743.00",5.9
2010-09-30,100000000.0,"$10,595,464.00",9.44
2010-06-30,100000000.0,"$-4,238,186.00",0.0
2010-03-31,100000000.0,"$-14,833,651.00",0.0
2009-12-31,100000000.0,"$-4,238,185.00",0.0
