InnovAge Holding PE Ratio Historical Data,InnovAge Holding PE Ratio Historical Data,InnovAge Holding PE Ratio Historical Data,InnovAge Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.25,,0.0
2024-12-31,3.93,$-0.19,0.0
2024-09-30,6.0,$-0.12,0.0
2024-06-30,4.96,$-0.16,0.0
2024-03-31,4.44,$-0.24,0.0
2023-12-31,6.0,$-0.25,0.0
2023-09-30,5.99,$-0.29,0.0
2023-06-30,7.5,$-0.31,0.0
2023-03-31,7.98,$-0.31,0.0
2022-12-31,7.18,$-0.28,0.0
2022-09-30,5.88,$-0.20,0.0
2022-06-30,4.38,$-0.04,0.0
2022-03-31,6.42,$0.10,64.2
2021-12-31,5.0,$0.03,166.67
