Spire PE Ratio Historical Data,Spire PE Ratio Historical Data,Spire PE Ratio Historical Data,Spire PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,77.41,,18.74
2024-12-31,67.83,$4.13,16.42
2024-09-30,66.53,$4.31,15.44
2024-06-30,59.35,$4.16,14.27
2024-03-31,59.22,$3.96,14.95
2023-12-31,59.42,$3.71,16.02
2023-09-30,53.29,$3.85,13.84
2023-06-30,59.03,$4.31,13.7
2023-03-31,64.56,$4.69,13.76
2022-12-31,62.71,$4.63,13.54
2022-09-30,56.16,$3.98,14.11
2022-06-30,66.37,$3.92,16.93
2022-03-31,63.47,$4.05,15.67
2021-12-31,57.11,$4.33,13.19
2021-09-30,52.99,$4.97,10.66
2021-06-30,61.98,$4.78,12.97
2021-03-31,62.82,$2.88,21.81
2020-12-31,53.96,$1.87,28.86
2020-09-30,44.38,$1.46,30.4
2020-06-30,54.2,$1.17,46.32
2020-03-31,60.91,$2.95,20.65
2019-12-31,67.58,$3.45,19.59
2019-09-30,70.22,$3.53,19.89
2019-06-30,67.08,$3.76,17.84
2019-03-31,65.31,$4.37,14.95
2018-12-31,58.36,$3.36,17.37
2018-09-30,57.52,$4.43,12.98
2018-06-30,54.84,$4.66,11.77
2018-03-31,55.65,$4.59,12.12
2017-12-31,57.37,$4.92,11.66
2017-09-30,56.59,$3.52,16.08
2017-06-30,52.51,$3.49,15.05
2017-03-31,50.45,$3.28,15.38
2016-12-31,47.85,$3.23,14.81
2016-09-30,46.86,$3.32,14.12
2016-06-30,51.7,$3.20,16.16
2016-03-31,49.08,$3.28,14.96
2015-12-31,42.72,$3.15,13.56
2015-09-30,38.88,$3.16,12.3
2015-06-30,36.79,$3.24,11.35
2015-03-31,35.87,$3.25,11.04
2014-12-31,36.91,$2.66,13.88
2014-09-30,31.92,$2.66,12.0
2014-06-30,33.09,$2.71,12.21
2014-03-31,31.84,$2.63,12.11
2013-12-31,30.46,$2.38,12.8
2013-09-30,29.8,$2.43,12.27
2013-06-30,29.95,$2.70,11.09
2013-03-31,27.75,$2.83,9.81
2012-12-31,24.84,$2.81,8.84
2012-09-30,27.37,$2.79,9.81
2012-06-30,25.09,$2.69,9.33
2012-03-31,24.33,$3.00,8.11
2011-12-31,24.98,$2.93,8.52
2011-09-30,23.66,$2.86,8.27
2011-06-30,22.86,$2.92,7.83
2011-03-31,22.77,$2.44,9.33
2010-12-31,21.61,$2.45,8.82
2010-09-30,20.13,$2.43,8.28
2010-06-30,19.15,$2.28,8.4
2010-03-31,19.25,$2.38,8.09
2009-12-31,19.05,$2.52,7.56
