QIAGEN PE Ratio Historical Data,QIAGEN PE Ratio Historical Data,QIAGEN PE Ratio Historical Data,QIAGEN PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,39.36,,98.11
2024-09-30,45.57,$0.40,113.58
2024-06-30,41.09,$0.31,132.93
2024-03-31,42.99,$1.53,28.03
2023-12-31,44.77,$1.56,28.77
2023-09-30,41.75,$1.54,27.15
2023-06-30,46.42,$1.56,29.78
2023-03-31,47.35,$1.63,28.99
2022-12-31,51.41,$1.95,26.35
2022-09-30,42.56,$2.13,19.97
2022-06-30,48.66,$2.35,20.67
2022-03-31,50.52,$2.46,20.53
2021-12-31,57.3,$2.34,24.45
2021-09-30,53.28,$2.71,19.63
2021-06-30,49.88,$2.18,22.83
2021-03-31,50.2,$2.04,24.65
2020-12-31,54.48,$1.62,33.58
2020-09-30,53.88,$0.86,62.72
2020-06-30,44.13,$0.03,1383.51
2020-03-31,42.89,$-0.17,0.0
2019-12-31,34.85,$-0.21,0.0
2019-09-30,33.99,$-0.14,0.0
2019-06-30,41.8,$0.89,46.93
2019-03-31,41.94,$0.86,48.82
2018-12-31,35.52,$0.87,40.84
2018-09-30,39.05,$0.40,96.9
2018-06-30,37.28,$0.35,106.51
2018-03-31,33.31,$0.24,136.57
2017-12-31,31.89,$0.18,176.95
2017-09-30,32.47,$0.41,78.53
2017-06-30,34.57,$0.35,100.19
2017-03-31,29.87,$0.38,78.49
2016-12-31,30.0,$0.36,82.91
2016-09-30,29.38,$0.54,54.44
2016-06-30,23.35,$0.54,43.27
2016-03-31,23.92,$0.56,42.59
2015-12-31,29.6,$0.58,50.72
2015-09-30,27.64,$0.48,57.05
2015-06-30,26.54,$0.48,54.78
2015-03-31,26.98,$0.52,52.12
2014-12-31,25.12,$0.54,46.55
2014-09-30,24.38,$0.69,35.14
2014-06-30,26.18,$0.73,36.01
2014-03-31,22.58,$0.33,68.36
2013-12-31,25.49,$0.31,82.68
2013-09-30,22.91,$0.21,109.51
2013-06-30,21.32,$0.15,138.32
2013-03-31,22.57,$0.55,40.99
2012-12-31,19.43,$0.59,32.68
2012-09-30,19.82,$0.42,47.36
2012-06-30,17.88,$0.45,39.6
2012-03-31,16.67,$0.45,36.92
2011-12-31,14.78,$0.45,32.75
2011-09-30,14.81,$0.62,24.01
2011-06-30,20.36,$0.62,33.02
2011-03-31,21.47,$0.64,33.61
2010-12-31,20.93,$0.66,31.67
2010-09-30,18.99,$0.69,27.37
2010-06-30,20.58,$0.73,28.31
2010-03-31,24.61,$0.72,34.38
2009-12-31,23.91,$0.69,34.46
