Graphjet Technology PE Ratio Historical Data,Graphjet Technology PE Ratio Historical Data,Graphjet Technology PE Ratio Historical Data,Graphjet Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.1,,0.0
2024-06-30,4.89,$-0.39,0.0
2024-03-31,7.07,$-0.32,0.0
2023-12-31,11.31,$0.08,141.38
2023-09-30,11.12,$0.08,139.0
2023-06-30,10.83,$0.13,83.31
2023-03-31,10.55,$0.07,150.71
2022-12-31,10.32,$-0.12,0.0
