South Plains Financial PE Ratio Historical Data,South Plains Financial PE Ratio Historical Data,South Plains Financial PE Ratio Historical Data,South Plains Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,32.92,,11.27
2024-12-31,34.75,$2.92,11.9
2024-09-30,33.77,$2.57,13.14
2024-06-30,26.77,$2.69,9.95
2024-03-31,26.39,$3.74,7.06
2023-12-31,28.43,$3.63,7.83
2023-09-30,25.83,$3.73,6.92
2023-06-30,21.88,$3.81,5.74
2023-03-31,20.68,$2.98,6.94
2022-12-31,26.47,$3.23,8.19
2022-09-30,26.4,$3.31,7.97
2022-06-30,23.02,$3.27,7.04
2022-03-31,25.23,$3.13,8.06
2021-12-31,26.3,$3.17,8.29
2021-09-30,22.97,$3.25,7.07
2021-06-30,21.71,$3.35,6.48
2021-03-31,21.26,$2.92,7.28
2020-12-31,17.69,$2.48,7.13
2020-09-30,11.54,$2.16,5.34
2020-06-30,13.21,$1.69,7.82
2020-03-31,14.34,$1.75,8.19
