Dillard's PE Ratio Historical Data,Dillard's PE Ratio Historical Data,Dillard's PE Ratio Historical Data,Dillard's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,359.62,,9.75
2025-01-31,468.11,$36.89,12.69
2024-10-31,350.83,$38.85,9.03
2024-07-31,376.15,$40.61,9.26
2024-04-30,413.09,$44.00,9.39
2024-01-31,365.06,$44.76,8.16
2023-10-31,278.12,$46.21,6.02
2023-07-31,307.08,$47.68,6.44
2023-04-30,266.95,$49.00,5.45
2023-01-31,351.63,$50.83,6.92
2022-10-31,280.41,$50.55,5.55
2022-07-31,193.75,$49.40,3.92
2022-04-30,258.69,$48.91,5.29
2022-01-31,215.88,$42.48,5.08
2021-10-31,188.23,$28.92,6.51
2021-07-31,149.1,$20.54,7.26
2021-04-30,80.4,$11.36,7.08
2021-01-31,71.26,$-2.83,0.0
2020-10-31,36.22,$-3.13,0.0
2020-07-31,18.98,$-4.34,0.0
2020-04-30,23.63,$-5.56,0.0
2020-01-31,48.49,$4.37,11.1
2019-10-31,54.97,$4.84,11.36
2019-07-31,57.86,$4.89,11.83
2019-04-30,54.33,$6.38,8.52
2019-01-31,52.94,$6.28,8.43
2018-10-31,55.72,$8.61,6.47
2018-07-31,63.43,$8.84,7.18
2018-04-30,58.85,$8.36,7.04
2018-01-31,53.27,$7.59,7.02
2017-10-31,39.99,$3.76,10.63
2017-07-31,58.01,$3.93,14.76
2017-04-30,43.45,$4.86,8.94
2017-01-31,44.24,$4.91,9.01
2016-10-31,47.99,$5.50,8.73
2016-07-31,52.92,$6.02,8.79
2016-04-30,55.03,$6.42,8.57
2016-01-31,54.95,$6.91,7.95
2015-10-31,69.76,$7.77,8.98
2015-07-31,79.36,$7.88,10.07
2015-04-30,102.45,$7.93,12.92
2015-01-31,88.4,$7.83,11.29
2014-10-31,82.26,$7.37,11.16
2014-07-31,92.68,$7.20,12.87
2014-04-30,76.09,$7.19,10.58
2014-01-31,67.79,$7.13,9.51
2013-10-31,63.62,$7.78,8.18
2013-07-31,65.47,$7.66,8.55
2013-04-30,63.86,$7.50,8.52
2013-01-31,65.37,$6.89,9.49
2012-10-31,56.21,$6.30,8.92
2012-07-31,47.59,$5.79,8.22
2012-04-30,47.06,$5.48,8.59
2012-01-31,32.23,$4.90,6.58
2011-10-31,37.49,$3.88,9.66
2011-07-31,40.89,$3.60,11.36
2011-04-30,34.87,$3.38,10.32
2011-01-31,28.81,$2.75,10.48
2010-10-31,18.49,$2.08,8.89
2010-07-31,16.74,$1.97,8.5
2010-04-30,20.28,$1.51,13.43
2010-01-31,11.94,$0.93,12.84
2009-10-31,9.8,$-2.18,0.0
