Chicago Rivet & Machine PE Ratio Historical Data,Chicago Rivet & Machine PE Ratio Historical Data,Chicago Rivet & Machine PE Ratio Historical Data,Chicago Rivet & Machine PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.62,,0.0
2024-09-30,17.97,$-3.67,0.0
2024-06-30,14.7,$-3.17,0.0
2024-03-31,16.77,$-4.68,0.0
2023-12-31,16.64,$-4.56,0.0
2023-09-30,17.17,$-4.32,0.0
2023-06-30,24.92,$0.39,63.89
2023-03-31,28.54,$1.91,14.94
2022-12-31,27.29,$2.97,9.19
2022-09-30,24.36,$4.41,5.52
2022-06-30,26.72,$0.88,30.36
2022-03-31,24.59,$1.05,23.42
2021-12-31,24.25,$1.15,21.08
2021-09-30,24.58,$1.55,15.86
2021-06-30,23.48,$1.69,13.89
2021-03-31,22.94,$0.55,41.72
2020-12-31,20.41,$0.05,408.15
2020-09-30,19.2,$-0.73,0.0
2020-06-30,18.39,$-0.73,0.0
2020-03-31,18.67,$0.32,58.33
2019-12-31,22.5,$0.56,40.18
2019-09-30,22.91,$1.17,19.58
2019-06-30,24.46,$1.15,21.27
2019-03-31,24.05,$1.64,14.67
2018-12-31,26.36,$2.07,12.74
2018-09-30,27.02,$2.55,10.59
2018-06-30,26.63,$2.60,10.24
2018-03-31,25.58,$2.35,10.88
2017-12-31,25.68,$2.15,11.95
2017-09-30,24.88,$1.83,13.59
2017-06-30,29.76,$1.96,15.18
2017-03-31,32.02,$2.30,13.92
2016-12-31,32.53,$2.44,13.33
2016-09-30,21.9,$2.21,9.91
2016-06-30,20.86,$2.17,9.61
2016-03-31,18.76,$1.94,9.67
2015-12-31,17.47,$1.75,9.98
2015-09-30,18.71,$1.79,10.45
2015-06-30,20.82,$1.91,10.9
2015-03-31,24.3,$1.91,12.72
2014-12-31,22.46,$2.02,11.12
2014-09-30,22.5,$2.33,9.66
2014-06-30,26.71,$2.62,10.2
2014-03-31,28.01,$2.69,10.41
2013-12-31,23.48,$2.57,9.14
2013-09-30,21.06,$2.34,9.0
2013-06-30,18.94,$1.97,9.61
2013-03-31,18.03,$1.77,10.19
2012-12-31,13.47,$1.81,7.44
2012-09-30,12.53,$1.69,7.42
2012-06-30,12.43,$1.54,8.07
2012-03-31,13.2,$1.69,7.81
2011-12-31,11.31,$1.30,8.7
2011-09-30,10.49,$1.11,9.45
2011-06-30,10.25,$0.89,11.52
2011-03-31,11.41,$0.71,16.07
2010-12-31,11.21,$0.63,17.79
2010-09-30,11.06,$0.61,18.14
2010-06-30,9.06,$0.24,37.77
2010-03-31,9.57,$-0.64,0.0
2009-12-31,8.89,$-1.33,0.0
