Red River Bancshares PE Ratio Historical Data,Red River Bancshares PE Ratio Historical Data,Red River Bancshares PE Ratio Historical Data,Red River Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,52.07,,10.5
2024-12-31,53.98,$4.96,10.88
2024-09-30,51.92,$4.75,10.93
2024-06-30,47.83,$4.60,10.4
2024-03-31,49.52,$4.69,10.56
2023-12-31,55.71,$4.86,11.46
2023-09-30,45.56,$5.12,8.9
2023-06-30,48.63,$5.42,8.97
2023-03-31,47.54,$5.44,8.74
2022-12-31,50.37,$5.14,9.8
2022-09-30,48.7,$4.89,9.96
2022-06-30,53.21,$4.59,11.59
2022-03-31,51.99,$4.45,11.68
2021-12-31,52.49,$4.52,11.61
2021-09-30,48.85,$4.34,11.26
2021-06-30,49.43,$4.21,11.74
2021-03-31,54.74,$4.01,13.65
2020-12-31,48.37,$3.83,12.63
2020-09-30,41.93,$3.76,11.15
2020-06-30,42.74,$3.70,11.55
2020-03-31,36.19,$3.55,10.19
