AT&T PE Ratio Historical Data,AT&T PE Ratio Historical Data,AT&T PE Ratio Historical Data,AT&T PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.79,,17.98
2024-12-31,22.77,$1.49,15.28
2024-09-30,21.72,$1.23,17.66
2024-06-30,18.59,$1.74,10.68
2024-03-31,16.84,$1.86,9.06
2023-12-31,15.8,$1.96,8.06
2023-09-30,13.88,$-1.54,0.0
2023-06-30,14.48,$-1.22,0.0
2023-03-31,17.23,$-1.27,0.0
2022-12-31,16.24,$-1.19,0.0
2022-09-30,13.29,$2.70,4.92
2022-06-30,17.92,$2.72,6.59
2022-03-31,15.17,$2.37,6.4
2021-12-31,15.49,$2.76,5.61
2021-09-30,16.69,$0.12,139.06
2021-06-30,17.46,$-0.31,0.0
2021-03-31,18.05,$-0.35,0.0
2020-12-31,16.85,$-0.76,0.0
2020-09-30,16.4,$1.52,10.79
2020-06-30,17.09,$1.63,10.49
2020-03-31,16.2,$1.97,8.22
2019-12-31,21.43,$1.90,11.28
2019-09-30,20.47,$2.23,9.18
2019-06-30,17.85,$2.38,7.5
2019-03-31,16.45,$2.68,6.14
2018-12-31,14.72,$2.87,5.13
2018-09-30,17.06,$5.29,3.23
2018-06-30,16.06,$5.13,3.13
2018-03-31,17.59,$4.95,3.55
2017-12-31,18.93,$4.76,3.98
2017-09-30,18.83,$2.07,9.1
2017-06-30,17.9,$2.12,8.44
2017-03-31,19.48,$2.04,9.55
2016-12-31,19.7,$2.09,9.43
2016-09-30,18.59,$2.35,7.91
2016-06-30,19.56,$2.31,8.47
2016-03-31,17.51,$2.34,7.48
2015-12-31,15.17,$2.34,6.48
2015-09-30,14.16,$0.92,15.39
2015-06-30,15.23,$1.00,15.23
2015-03-31,13.8,$1.10,12.55
2014-12-31,14.0,$1.19,11.77
2014-09-30,14.5,$3.27,4.43
2014-06-30,14.37,$3.41,4.21
2014-03-31,14.06,$3.44,4.09
2013-12-31,13.91,$3.41,4.08
2013-09-30,13.2,$1.42,9.3
2013-06-30,13.65,$1.33,10.26
2013-03-31,13.98,$1.28,10.92
2012-12-31,12.68,$1.21,10.48
2012-09-30,14.01,$0.77,18.2
2012-06-30,13.09,$0.75,17.46
2012-03-31,11.31,$0.69,16.39
2011-12-31,10.79,$0.66,16.35
2011-09-30,10.02,$1.96,5.11
2011-06-30,10.89,$3.43,3.17
2011-03-31,10.46,$3.51,2.98
2010-12-31,9.9,$3.36,2.95
2010-09-30,9.49,$3.69,2.57
2010-06-30,7.89,$2.15,3.67
2010-03-31,8.3,$2.01,4.13
2009-12-31,8.86,$2.12,4.18
