Victory Capital Holdings PE Ratio Historical Data,Victory Capital Holdings PE Ratio Historical Data,Victory Capital Holdings PE Ratio Historical Data,Victory Capital Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,60.25,,13.79
2024-12-31,65.46,$4.37,14.98
2024-09-30,55.03,$4.02,13.69
2024-06-30,47.03,$3.55,13.25
2024-03-31,41.5,$3.26,12.73
2023-12-31,33.4,$3.13,10.67
2023-09-30,32.02,$3.05,10.5
2023-06-30,30.01,$3.29,9.12
2023-03-31,27.58,$3.55,7.77
2022-12-31,25.02,$3.81,6.57
2022-09-30,21.54,$4.01,5.37
2022-06-30,22.08,$4.00,5.52
2022-03-31,26.2,$3.84,6.82
2021-12-31,32.88,$3.75,8.77
2021-09-30,31.36,$3.56,8.81
2021-06-30,28.8,$3.32,8.67
2021-03-31,22.71,$3.00,7.57
2020-12-31,21.96,$2.89,7.6
2020-09-30,14.91,$2.65,5.62
2020-06-30,15.12,$2.24,6.75
2020-03-31,14.35,$1.83,7.84
2019-12-31,18.33,$1.26,14.55
2019-09-30,13.41,$0.94,14.27
2019-06-30,14.94,$0.88,16.98
2019-03-31,13.06,$0.94,13.9
2018-12-31,8.89,$0.90,9.88
