Harvard Bioscience PE Ratio Historical Data,Harvard Bioscience PE Ratio Historical Data,Harvard Bioscience PE Ratio Historical Data,Harvard Bioscience PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.66,,0.0
2024-12-31,2.11,$-0.29,0.0
2024-09-30,2.69,$-0.33,0.0
2024-06-30,2.85,$-0.25,0.0
2024-03-31,4.24,$-0.20,0.0
2023-12-31,5.35,$-0.08,0.0
2023-09-30,4.3,$-0.08,0.0
2023-06-30,5.49,$-0.13,0.0
2023-03-31,4.2,$-0.05,0.0
2022-12-31,2.77,$-0.23,0.0
2022-09-30,2.56,$-0.17,0.0
2022-06-30,3.6,$-0.09,0.0
2022-03-31,6.21,$-0.16,0.0
2021-12-31,7.05,$-0.01,0.0
2021-09-30,6.98,$-0.05,0.0
2021-06-30,8.33,$-0.08,0.0
2021-03-31,5.46,$-0.11,0.0
2020-12-31,4.29,$-0.21,0.0
2020-09-30,3.01,$-0.18,0.0
2020-06-30,3.1,$-0.22,0.0
2020-03-31,2.21,$-0.19,0.0
2019-12-31,3.05,$-0.13,0.0
2019-09-30,3.08,$-0.08,0.0
2019-06-30,2.0,$-0.02,0.0
2019-03-31,4.31,$-0.05,0.0
2018-12-31,3.18,$-0.10,0.0
2018-09-30,5.25,$-0.13,0.0
2018-06-30,5.35,$-0.13,0.0
2018-03-31,5.0,$-0.10,0.0
2017-12-31,3.3,$-0.02,0.0
2017-09-30,3.75,$-0.09,0.0
2017-06-30,2.55,$-0.13,0.0
2017-03-31,2.6,$-0.14,0.0
2016-12-31,3.05,$-0.13,0.0
2016-09-30,2.72,$-0.60,0.0
2016-06-30,2.86,$-0.57,0.0
2016-03-31,3.02,$-0.54,0.0
2015-12-31,3.47,$-0.56,0.0
2015-09-30,3.78,$-0.05,0.0
2015-06-30,5.7,$-0.01,0.0
2015-03-31,5.82,$0.01,582.0
2014-12-31,5.67,$0.07,81.0
2014-09-30,4.09,$0.05,81.8
2014-06-30,4.55,$-0.00,0.0
2014-03-31,4.74,$-0.04,0.0
2013-12-31,4.7,$-0.06,0.0
2013-09-30,4.08,0,0.0
2013-06-30,3.64,$0.03,121.42
2013-03-31,4.38,$0.07,62.55
2012-12-31,3.39,$0.09,37.72
2012-09-30,3.28,$0.07,46.83
2012-06-30,2.92,$0.07,41.74
2012-03-31,3.04,$0.09,33.76
2011-12-31,3.0,$0.13,23.07
2011-09-30,3.27,$0.19,17.21
2011-06-30,4.13,$0.63,6.56
2011-03-31,4.4,$0.64,6.88
2010-12-31,3.16,$0.65,4.86
2010-09-30,2.95,$0.70,4.21
2010-06-30,2.76,$0.30,9.2
2010-03-31,3.0,$0.25,12.0
2009-12-31,2.77,$0.24,11.53
