Cass Information Systems PE Ratio Historical Data,Cass Information Systems PE Ratio Historical Data,Cass Information Systems PE Ratio Historical Data,Cass Information Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,43.7,,31.67
2024-12-31,40.91,$1.38,29.64
2024-09-30,41.19,$1.66,24.82
2024-06-30,39.51,$1.99,19.85
2024-03-31,47.16,$2.19,21.53
2023-12-31,43.83,$2.18,20.1
2023-09-30,35.99,$2.24,16.07
2023-06-30,37.19,$2.34,15.89
2023-03-31,41.23,$2.44,16.9
2022-12-31,43.36,$2.53,17.14
2022-09-30,32.61,$2.41,13.53
2022-06-30,31.53,$2.25,14.01
2022-03-31,34.15,$2.11,16.18
2021-12-31,36.12,$2.00,18.06
2021-09-30,38.19,$1.89,20.2
2021-06-30,36.96,$1.81,20.42
2021-03-31,41.72,$1.70,24.54
2020-12-31,34.87,$1.73,20.16
2020-09-30,35.84,$1.72,20.83
2020-06-30,34.52,$1.88,18.36
2020-03-31,30.9,$2.03,15.22
2019-12-31,50.45,$2.06,24.49
2019-09-30,46.95,$2.10,22.36
2019-06-30,41.94,$2.05,20.48
2019-03-31,40.69,$2.03,20.06
2018-12-31,45.29,$2.02,22.42
2018-09-30,55.47,$1.91,29.07
2018-06-30,58.41,$1.86,31.37
2018-03-31,50.3,$1.80,27.92
2017-12-31,49.01,$1.68,29.1
2017-09-30,48.37,$1.76,27.52
2017-06-30,49.86,$1.71,29.12
2017-03-31,50.02,$1.67,30.01
2016-12-31,55.48,$1.63,34.06
2016-09-30,42.58,$1.60,26.64
2016-06-30,38.71,$1.57,24.69
2016-03-31,39.02,$1.54,25.37
2015-12-31,38.2,$1.52,25.21
2015-09-30,36.31,$1.48,24.46
2015-06-30,41.37,$1.52,27.31
2015-03-31,41.15,$1.55,26.62
2014-12-31,38.86,$1.56,24.9
2014-09-30,30.09,$1.53,19.66
2014-06-30,35.8,$1.52,23.63
2014-03-31,37.16,$1.52,24.52
2013-12-31,48.34,$1.53,31.59
2013-09-30,38.18,$1.54,24.83
2013-06-30,32.87,$1.54,21.4
2013-03-31,29.86,$1.53,19.46
2012-12-31,29.84,$1.53,19.55
2012-09-30,26.98,$1.54,17.49
2012-06-30,25.77,$1.54,16.69
2012-03-31,25.45,$1.53,16.6
2011-12-31,23.08,$1.52,15.15
2011-09-30,17.91,$1.50,11.97
2011-06-30,21.68,$1.47,14.8
2011-03-31,22.47,$1.41,15.95
2010-12-31,21.6,$1.35,16.05
2010-09-30,19.45,$1.30,15.01
2010-06-30,19.34,$1.21,15.92
2010-03-31,17.51,$1.13,15.45
2009-12-31,17.01,$1.08,15.71
