Hewlett Packard Enterprise PE Ratio Historical Data,Hewlett Packard Enterprise PE Ratio Historical Data,Hewlett Packard Enterprise PE Ratio Historical Data,Hewlett Packard Enterprise PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.23,,7.92
2025-01-31,21.19,$2.05,10.34
2024-10-31,19.49,$1.90,10.26
2024-07-31,19.77,$1.40,14.12
2024-04-30,16.78,$1.37,12.25
2024-01-31,14.98,$1.45,10.33
2023-10-31,14.95,$1.54,9.71
2023-07-31,16.78,$0.82,20.46
2023-04-30,13.73,$0.78,17.6
2023-01-31,15.33,$0.65,23.59
2022-10-31,13.47,$0.66,20.4
2022-07-31,13.32,$2.80,4.76
2022-04-30,14.29,$2.78,5.14
2022-01-31,15.03,$2.78,5.41
2021-10-31,13.38,$2.56,5.23
2021-07-31,13.14,$0.77,17.06
2021-04-30,14.4,$0.49,29.39
2021-01-31,11.01,$-0.34,0.0
2020-10-31,7.63,$-0.26,0.0
2020-07-31,8.61,$-0.02,0.0
2020-04-30,8.68,$-0.05,0.0
2020-01-31,11.89,$0.89,13.36
2019-10-31,13.9,$0.77,18.06
2019-07-31,12.18,$-0.11,0.0
2019-04-30,13.29,$0.20,66.45
2019-01-31,13.11,$0.39,33.6
2018-10-31,12.72,$1.15,11.06
2018-07-31,12.79,$1.99,6.43
2018-04-30,14.03,$1.80,7.79
2018-01-31,13.44,$0.94,14.3
2017-10-31,11.35,$0.21,54.04
2017-07-31,14.21,$0.07,202.93
2017-04-30,15.06,$1.29,11.67
2017-01-31,13.74,$1.84,7.47
2016-10-31,13.58,$1.83,7.42
