EZCORP PE Ratio Historical Data,EZCORP PE Ratio Historical Data,EZCORP PE Ratio Historical Data,EZCORP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.88,,12.07
2024-12-31,12.22,$1.15,10.63
2024-09-30,11.21,$1.11,10.1
2024-06-30,10.47,$1.05,9.97
2024-03-31,11.33,$1.04,10.89
2023-12-31,8.74,$0.63,13.87
2023-09-30,8.25,$0.52,15.87
2023-06-30,8.38,$0.48,17.46
2023-03-31,8.6,$0.41,20.98
2022-12-31,8.15,$0.73,11.16
2022-09-30,7.71,$0.69,11.17
2022-06-30,7.51,$0.61,12.31
2022-03-31,6.04,$0.39,15.49
2021-12-31,7.37,$0.29,25.41
2021-09-30,7.57,$0.16,47.31
2021-06-30,6.03,$-0.29,0.0
2021-03-31,4.97,$-0.34,0.0
2020-12-31,4.79,$-1.18,0.0
2020-09-30,5.03,$-1.24,0.0
2020-06-30,6.3,$-0.83,0.0
2020-03-31,4.17,$-0.67,0.0
2019-12-31,6.82,$0.13,52.46
2019-09-30,6.46,$0.04,161.38
2019-06-30,9.47,$0.05,189.4
2019-03-31,9.32,$0.24,38.83
2018-12-31,7.73,$0.39,19.82
2018-09-30,10.7,$0.69,15.51
2018-06-30,12.05,$0.90,13.39
2018-03-31,13.2,$0.75,17.6
2017-12-31,12.2,$0.69,17.68
2017-09-30,9.5,$0.59,16.1
2017-06-30,7.7,$0.44,17.5
2017-03-31,8.15,$0.23,35.43
2016-12-31,10.65,$-1.27,0.0
2016-09-30,11.06,$-1.53,0.0
2016-06-30,7.56,$-3.22,0.0
2016-03-31,2.97,$-3.11,0.0
2015-12-31,4.99,$-1.73,0.0
2015-09-30,6.17,$-1.32,0.0
2015-06-30,7.43,$-1.34,0.0
2015-03-31,9.13,$-1.13,0.0
2014-12-31,11.75,$-1.01,0.0
2014-09-30,9.91,$-0.87,0.0
2014-06-30,11.55,$0.32,36.09
2014-03-31,10.79,$-0.00,0.0
2013-12-31,11.69,$0.48,24.35
2013-09-30,16.87,$0.65,25.95
2013-06-30,16.91,$1.86,9.09
2013-03-31,21.3,$2.53,8.42
2012-12-31,19.89,$2.63,7.56
2012-09-30,22.93,$2.82,8.13
2012-06-30,23.46,$2.79,8.41
2012-03-31,32.46,$2.76,11.76
2011-12-31,26.37,$2.66,9.91
2011-09-30,28.54,$2.43,11.74
2011-06-30,35.58,$2.27,15.67
2011-03-31,31.39,$2.14,14.67
2010-12-31,27.13,$1.99,13.63
2010-09-30,20.04,$1.96,10.22
2010-06-30,18.55,$1.82,10.19
2010-03-31,20.6,$1.71,12.05
2009-12-31,17.2,$1.60,10.75
