Avista PE Ratio Historical Data,Avista PE Ratio Historical Data,Avista PE Ratio Historical Data,Avista PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,40.0,,17.62
2024-12-31,36.63,$2.27,16.14
2024-09-30,38.28,$2.51,15.25
2024-06-30,33.77,$2.47,13.67
2024-03-31,33.74,$2.41,14.0
2023-12-31,33.96,$2.23,15.23
2023-09-30,30.36,$2.20,13.8
2023-06-30,36.33,$1.93,18.83
2023-03-31,38.85,$1.86,20.88
2022-12-31,40.11,$2.12,18.92
2022-09-30,33.13,$1.78,18.61
2022-06-30,38.53,$2.06,18.7
2022-03-31,39.58,$2.10,18.85
2021-12-31,36.87,$2.09,17.64
2021-09-30,33.59,$2.24,14.99
2021-06-30,36.27,$2.11,17.19
2021-03-31,40.21,$2.17,18.53
2020-12-31,33.43,$1.91,17.5
2020-09-30,28.11,$1.81,15.53
2020-06-30,29.65,$1.82,16.29
2020-03-31,34.26,$1.94,17.66
2019-12-31,38.47,$2.98,12.91
2019-09-30,38.44,$2.92,13.16
2019-06-30,35.1,$2.99,11.74
2019-03-31,31.67,$3.00,10.56
2018-12-31,32.82,$2.07,15.85
2018-09-30,39.06,$1.79,21.82
2018-06-30,40.39,$1.71,23.62
2018-03-31,39.03,$1.66,23.51
2017-12-31,38.92,$1.79,21.74
2017-09-30,38.86,$1.99,19.53
2017-06-30,31.65,$2.11,15.0
2017-03-31,28.86,$2.20,13.12
2016-12-31,29.29,$2.13,13.75
2016-09-30,30.35,$2.12,14.32
2016-06-30,32.26,$2.14,15.08
2016-03-31,29.12,$2.11,13.8
2015-12-31,25.02,$1.96,12.77
2015-09-30,23.3,$1.86,12.52
2015-06-30,21.24,$1.81,11.74
2015-03-31,23.45,$3.08,7.61
2014-12-31,24.02,$3.15,7.63
2014-09-30,20.55,$3.17,6.48
2014-06-30,22.35,$3.20,6.98
2014-03-31,20.23,$1.96,10.32
2013-12-31,18.41,$1.86,9.9
2013-09-30,17.05,$1.59,10.72
2013-06-30,17.25,$1.50,11.5
2013-03-31,17.31,$1.38,12.54
2012-12-31,15.06,$1.32,11.41
2012-09-30,15.87,$1.48,10.73
2012-06-30,16.28,$1.56,10.44
2012-03-31,15.42,$1.64,9.4
2011-12-31,15.35,$1.72,8.92
2011-09-30,14.06,$1.75,8.03
2011-06-30,14.97,$1.79,8.36
2011-03-31,13.33,$1.86,7.17
2010-12-31,12.82,$1.65,7.77
2010-09-30,11.75,$1.60,7.34
2010-06-30,10.86,$1.53,7.1
2010-03-31,11.37,$1.54,7.38
2009-12-31,11.71,$1.59,7.36
