Village Bank And Trust Financial PE Ratio Historical Data,Village Bank And Trust Financial PE Ratio Historical Data,Village Bank And Trust Financial PE Ratio Historical Data,Village Bank And Trust Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,80.03,,16.5
2024-09-30,76.07,$4.85,15.69
2024-06-30,44.29,$1.72,25.75
2024-03-31,42.07,$1.44,29.22
2023-12-31,39.28,$1.29,30.45
2023-09-30,44.74,$1.61,27.79
2023-06-30,42.23,$4.79,8.82
2023-03-31,53.56,$5.44,9.84
2022-12-31,50.49,$5.64,8.95
2022-09-30,46.62,$5.78,8.07
2022-06-30,44.41,$6.29,7.06
2022-03-31,52.95,$7.05,7.51
2021-12-31,55.56,$8.47,6.56
2021-09-30,49.53,$6.87,7.21
2021-06-30,45.22,$6.45,7.01
2021-03-31,38.32,$5.82,6.58
2020-12-31,32.95,$3.78,8.72
2020-09-30,28.74,$4.68,6.14
2020-06-30,29.59,$4.32,6.85
2020-03-31,24.22,$3.15,7.69
2019-12-31,35.56,$3.09,11.51
2019-09-30,32.95,$2.79,11.81
2019-06-30,31.57,$2.39,13.21
2019-03-31,31.23,$2.40,13.01
2018-12-31,29.17,$2.05,14.23
2018-09-30,32.0,$-1.47,0.0
2018-06-30,32.34,$-2.15,0.0
2018-03-31,30.9,$-2.51,0.0
2017-12-31,29.37,$-2.54,0.0
2017-09-30,32.53,$0.61,53.32
2017-06-30,30.37,$8.71,3.49
2017-03-31,26.16,$8.96,2.92
2016-12-31,25.58,$8.94,2.86
2016-09-30,22.35,$8.65,2.58
2016-06-30,21.56,$0.65,33.17
2016-03-31,18.12,$0.25,72.47
2015-12-31,18.2,$15.49,1.18
2015-09-30,19.74,$13.44,1.47
2015-06-30,18.87,$12.00,1.57
2015-03-31,16.58,$11.99,1.38
2014-12-31,21.08,$-6.29,0.0
2014-09-30,21.8,$-18.26,0.0
2014-06-30,21.22,$-18.79,0.0
2014-03-31,22.23,$-17.28,0.0
2013-12-31,21.62,$-17.12,0.0
2013-09-30,26.09,$0.16,163.07
2013-06-30,25.6,$-0.32,0.0
2013-03-31,33.27,$-39.04,0.0
2012-12-31,14.56,$-42.40,0.0
2012-09-30,16.1,$-72.48,0.0
2012-06-30,19.16,$-90.88,0.0
2012-03-31,30.35,$-53.44,0.0
2011-12-31,19.16,$-47.84,0.0
2011-09-30,28.82,$-21.28,0.0
2011-06-30,35.26,$-0.16,0.0
2011-03-31,45.22,$0.64,70.66
2010-12-31,22.84,$2.24,10.2
2010-09-30,22.23,$-24.16,0.0
2010-06-30,44.46,$-35.84,0.0
2010-03-31,53.19,$-36.80,0.0
2009-12-31,35.76,$-37.92,0.0
