Investcorp Credit Management BDC PE Ratio Historical Data,Investcorp Credit Management BDC PE Ratio Historical Data,Investcorp Credit Management BDC PE Ratio Historical Data,Investcorp Credit Management BDC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.23,,9.79
2024-09-30,3.02,$0.33,9.15
2024-06-30,3.24,$-0.25,0.0
2024-03-31,2.87,$0.02,143.26
2023-12-31,3.12,$-0.23,0.0
2023-09-30,3.23,$-0.02,0.0
2023-06-30,2.93,$0.22,13.32
2023-03-31,2.82,$-0.21,0.0
2022-12-31,2.62,$-0.13,0.0
2022-09-30,2.57,$0.07,36.65
2022-06-30,2.93,$0.18,16.29
2022-03-31,3.46,$-0.39,0.0
2021-12-31,3.21,$-0.12,0.0
2021-09-30,3.44,$-0.14,0.0
2021-06-30,3.32,$-0.17,0.0
2021-03-31,3.36,$0.52,6.47
2020-12-31,2.76,$-1.51,0.0
2020-09-30,2.03,$-1.51,0.0
2020-06-30,1.87,$-1.78,0.0
2020-03-31,1.26,$-1.99,0.0
2019-12-31,3.21,$-0.33,0.0
2019-09-30,3.07,$-1.24,0.0
2019-06-30,3.39,$-1.07,0.0
2019-03-31,3.18,$-0.43,0.0
2018-12-31,2.61,$-0.03,0.0
2018-09-30,3.48,$1.01,3.44
2018-06-30,3.5,$1.14,3.07
2018-03-31,3.14,$1.23,2.55
2017-12-31,3.03,$1.37,2.21
2017-09-30,3.37,$1.64,2.06
2017-06-30,3.52,$1.72,2.04
2017-03-31,3.48,$1.66,2.1
2016-12-31,3.12,$1.36,2.29
2016-09-30,2.94,$-0.39,0.0
2016-06-30,2.77,$-0.69,0.0
2016-03-31,2.52,$-0.64,0.0
2015-12-31,2.89,$-0.92,0.0
2015-09-30,2.86,$0.80,3.58
2015-06-30,3.55,$1.13,3.14
2015-03-31,3.37,$1.15,2.93
2014-12-31,2.73,$1.44,1.89
