Flanigan's Enterprises PE Ratio Historical Data,Flanigan's Enterprises PE Ratio Historical Data,Flanigan's Enterprises PE Ratio Historical Data,Flanigan's Enterprises PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,25.1,,14.18
2024-12-31,25.25,$1.77,14.27
2024-09-30,27.5,$1.80,15.28
2024-06-30,26.88,$1.63,16.49
2024-03-31,25.08,$1.89,13.27
2023-12-31,25.23,$1.87,13.49
2023-09-30,32.37,$2.15,15.05
2023-06-30,30.06,$2.90,10.37
2023-03-31,27.35,$3.03,9.03
2022-12-31,25.03,$2.90,8.63
2022-09-30,24.68,$3.40,7.26
2022-06-30,29.02,$3.45,8.41
2022-03-31,33.56,$6.33,5.3
2021-12-31,29.02,$6.76,4.29
2021-09-30,25.08,$6.34,3.96
2021-06-30,37.89,$5.83,6.5
2021-03-31,22.32,$1.72,12.98
2020-12-31,18.57,$0.75,24.76
2020-09-30,16.77,$0.60,27.95
2020-06-30,13.82,$0.87,15.88
2020-03-31,10.9,$1.63,6.69
2019-12-31,20.24,$1.83,11.06
2019-09-30,20.91,$1.96,10.67
2019-06-30,21.03,$1.81,11.62
2019-03-31,21.19,$1.85,11.45
2018-12-31,23.39,$2.05,11.41
2018-09-30,25.31,$1.98,12.79
2018-06-30,24.91,$1.90,13.11
2018-03-31,21.7,$1.79,12.12
2017-12-31,21.1,$1.60,13.19
2017-09-30,21.69,$1.63,13.3
2017-06-30,27.01,$1.58,17.09
2017-03-31,21.69,$1.75,12.39
2016-12-31,21.6,$1.66,13.01
2016-09-30,21.14,$1.64,12.89
2016-06-30,18.35,$1.86,9.86
2016-03-31,16.82,$1.69,9.95
2015-12-31,19.22,$1.82,10.56
2015-09-30,24.54,$1.86,13.2
2015-06-30,22.24,$1.68,13.24
2015-03-31,28.12,$1.69,16.64
2014-12-31,26.23,$1.58,16.6
2014-09-30,17.41,$1.49,11.68
2014-06-30,12.77,$1.36,9.39
2014-03-31,12.81,$1.25,10.25
2013-12-31,11.59,$1.16,9.99
2013-09-30,9.01,$1.06,8.5
2013-06-30,8.28,$1.12,7.39
2013-03-31,6.73,$0.90,7.48
2012-12-31,6.75,$0.77,8.77
2012-09-30,6.6,$0.76,8.69
2012-06-30,7.21,$0.59,12.23
2012-03-31,6.53,$0.65,10.05
2011-12-31,5.9,$0.77,7.67
2011-09-30,6.33,$0.78,8.12
2011-06-30,6.69,$0.93,7.19
2011-03-31,7.0,$0.97,7.21
2010-12-31,7.54,$0.94,8.02
2010-09-30,6.17,$0.90,6.86
2010-06-30,5.71,$0.86,6.64
2010-03-31,5.71,$0.80,7.13
2009-12-31,5.15,$0.81,6.36
