Tsakos Energy Navigation PE Ratio Historical Data,Tsakos Energy Navigation PE Ratio Historical Data,Tsakos Energy Navigation PE Ratio Historical Data,Tsakos Energy Navigation PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.35,,3.17
2024-09-30,23.8,$5.48,4.34
2024-06-30,27.15,$5.64,4.81
2024-03-31,23.55,$4.93,4.78
2023-12-31,20.61,$9.02,2.28
2023-09-30,18.63,$11.34,1.64
2023-06-30,15.98,$11.99,1.33
2023-03-31,17.12,$11.65,1.47
2022-12-31,14.92,$5.84,2.55
2022-09-30,13.34,$-2.38,0.0
2022-06-30,7.76,$-5.58,0.0
2022-03-31,7.6,$-8.38,0.0
2021-12-31,6.26,$-9.06,0.0
2021-09-30,9.25,$-4.56,0.0
2021-06-30,7.34,$-1.77,0.0
2021-03-31,8.09,$-0.98,0.0
2020-09-30,6.68,$-0.13,0.0
2020-06-30,8.47,$-0.53,0.0
2019-06-30,13.25,$-2.65,0.0
2019-03-31,12.29,$-2.10,0.0
2018-06-30,14.54,$-1.35,0.0
2018-03-31,12.72,$0.35,36.34
2017-06-30,18.07,$2.65,6.82
2017-03-31,17.84,$4.85,3.68
2016-06-30,16.69,$6.15,2.71
2016-03-31,21.99,$7.65,2.87
2015-12-31,27.81,$8.50,3.27
2015-09-30,28.3,$7.15,3.96
2015-06-30,32.91,$5.25,6.27
2015-03-31,28.07,$2.90,9.68
2014-12-31,23.75,$1.75,13.57
2014-09-30,21.54,$-2.25,0.0
2014-06-30,22.41,$-2.65,0.0
2014-03-31,25.8,$-2.75,0.0
2013-12-31,19.98,$-3.60,0.0
2013-09-30,17.15,$-2.45,0.0
2013-06-30,15.54,$-3.15,0.0
2013-03-31,14.03,$-3.45,0.0
2012-12-31,12.09,$-4.50,0.0
2012-09-30,16.44,$-8.50,0.0
2012-06-30,15.03,$-10.20,0.0
2012-03-31,26.01,$-11.65,0.0
2011-12-31,14.01,$-9.70,0.0
2011-09-30,15.91,$-3.85,0.0
2011-06-30,28.01,$-1.95,0.0
2011-03-31,30.3,$1.10,27.54
2010-12-31,27.16,$2.70,10.06
2010-09-30,35.75,$0.75,47.67
2010-06-30,37.64,$1.75,21.51
2010-03-31,38.39,$3.20,12.0
2009-12-31,38.18,$3.90,9.79
