Brink's PE Ratio Historical Data,Brink's PE Ratio Historical Data,Brink's PE Ratio Historical Data,Brink's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,85.81,,23.77
2024-12-31,92.77,$3.61,25.7
2024-09-30,115.37,$2.64,43.7
2024-06-30,101.94,$2.96,34.44
2024-03-31,91.73,$2.61,35.15
2023-12-31,87.1,$1.82,47.86
2023-09-30,71.71,$2.96,24.23
2023-06-30,66.76,$2.40,27.82
2023-03-31,65.52,$2.45,26.74
2022-12-31,52.52,$3.63,14.47
2022-09-30,47.21,$3.59,13.15
2022-06-30,58.96,$3.56,16.56
2022-03-31,65.81,$3.30,19.94
2021-12-31,63.27,$2.07,30.57
2021-09-30,60.91,$1.60,38.07
2021-06-30,73.74,$0.75,98.32
2021-03-31,75.84,$0.55,137.9
2020-12-31,68.78,$0.33,208.42
2020-09-30,39.13,$-0.25,0.0
2020-06-30,43.17,$0.33,130.83
2020-03-31,49.18,$0.31,158.65
2019-12-31,85.52,$0.55,155.49
2019-09-30,78.1,$1.31,59.62
2019-06-30,76.31,$1.54,49.55
2019-03-31,70.75,$-0.82,0.0
2018-12-31,60.54,$-0.67,0.0
2018-09-30,65.17,$-2.37,0.0
2018-06-30,74.37,$-2.33,0.0
2018-03-31,66.4,$0.06,1106.65
2017-12-31,73.09,$0.31,235.78
2017-09-30,78.1,$1.58,49.43
2017-06-30,61.98,$1.68,36.89
2017-03-31,49.32,$1.41,34.98
2016-12-31,37.98,$0.68,55.85
2016-09-30,34.06,$0.36,94.6
2016-06-30,26.08,$0.03,869.41
2016-03-31,30.65,$-0.24,0.0
2015-12-31,26.24,$-0.24,0.0
2015-09-30,24.48,$-1.13,0.0
2015-06-30,26.58,$-0.87,0.0
2015-03-31,24.88,$-0.58,0.0
2014-12-31,21.89,$-1.72,0.0
2014-09-30,21.46,$0.07,306.53
2014-06-30,25.1,$0.15,167.31
2014-03-31,25.29,$0.30,84.31
2013-12-31,30.15,$1.16,25.99
2013-09-30,24.92,$0.90,27.69
2013-06-30,22.38,$0.69,32.43
2013-03-31,24.7,$1.14,21.67
2012-12-31,24.85,$1.83,13.58
2012-09-30,22.3,$1.59,14.02
2012-06-30,20.03,$1.95,10.27
2012-03-31,20.54,$1.48,13.88
2011-12-31,23.05,$1.54,14.97
2011-09-30,19.91,$1.63,12.21
2011-06-30,25.4,$1.49,17.04
2011-03-31,28.09,$1.77,15.87
2010-12-31,22.72,$1.19,19.09
2010-09-30,19.37,$3.27,5.92
2010-06-30,15.94,$3.49,4.57
2010-03-31,23.55,$3.49,6.75
2009-12-31,20.22,$4.16,4.86
